Entity,Year,Absolute increase in population (OWID based on HYDE & UN),Projected absolute population increase (OWID based on HYDE & UN)
World,-10000,982.0,
World,-9999,983.0,
World,-9998,983.0,
World,-9997,983.0,
World,-9996,983.0,
World,-9995,984.0,
World,-9994,984.0,
World,-9993,984.0,
World,-9992,985.0,
World,-9991,985.0,
World,-9990,985.0,
World,-9989,985.0,
World,-9988,986.0,
World,-9987,986.0,
World,-9986,986.0,
World,-9985,986.0,
World,-9984,987.0,
World,-9983,987.0,
World,-9982,987.0,
World,-9981,987.0,
World,-9980,988.0,
World,-9979,988.0,
World,-9978,988.0,
World,-9977,989.0,
World,-9976,989.0,
World,-9975,989.0,
World,-9974,989.0,
World,-9973,990.0,
World,-9972,990.0,
World,-9971,990.0,
World,-9970,990.0,
World,-9969,991.0,
World,-9968,991.0,
World,-9967,991.0,
World,-9966,991.0,
World,-9965,992.0,
World,-9964,992.0,
World,-9963,992.0,
World,-9962,993.0,
World,-9961,993.0,
World,-9960,993.0,
World,-9959,993.0,
World,-9958,994.0,
World,-9957,994.0,
World,-9956,994.0,
World,-9955,994.0,
World,-9954,995.0,
World,-9953,995.0,
World,-9952,995.0,
World,-9951,995.0,
World,-9950,996.0,
World,-9949,996.0,
World,-9948,996.0,
World,-9947,997.0,
World,-9946,997.0,
World,-9945,997.0,
World,-9944,997.0,
World,-9943,998.0,
World,-9942,998.0,
World,-9941,998.0,
World,-9940,998.0,
World,-9939,999.0,
World,-9938,999.0,
World,-9937,999.0,
World,-9936,1000.0,
World,-9935,1000.0,
World,-9934,1000.0,
World,-9933,1000.0,
World,-9932,1001.0,
World,-9931,1001.0,
World,-9930,1001.0,
World,-9929,1001.0,
World,-9928,1002.0,
World,-9927,1002.0,
World,-9926,1002.0,
World,-9925,1003.0,
World,-9924,1003.0,
World,-9923,1003.0,
World,-9922,1003.0,
World,-9921,1004.0,
World,-9920,1004.0,
World,-9919,1004.0,
World,-9918,1004.0,
World,-9917,1005.0,
World,-9916,1005.0,
World,-9915,1005.0,
World,-9914,1006.0,
World,-9913,1006.0,
World,-9912,1006.0,
World,-9911,1006.0,
World,-9910,1007.0,
World,-9909,1007.0,
World,-9908,1007.0,
World,-9907,1007.0,
World,-9906,1008.0,
World,-9905,1008.0,
World,-9904,1008.0,
World,-9903,1009.0,
World,-9902,1009.0,
World,-9901,1009.0,
World,-9900,1009.0,
World,-9899,1010.0,
World,-9898,1010.0,
World,-9897,1010.0,
World,-9896,1010.0,
World,-9895,1011.0,
World,-9894,1011.0,
World,-9893,1011.0,
World,-9892,1012.0,
World,-9891,1012.0,
World,-9890,1012.0,
World,-9889,1012.0,
World,-9888,1013.0,
World,-9887,1013.0,
World,-9886,1013.0,
World,-9885,1013.0,
World,-9884,1014.0,
World,-9883,1014.0,
World,-9882,1014.0,
World,-9881,1015.0,
World,-9880,1015.0,
World,-9879,1015.0,
World,-9878,1015.0,
World,-9877,1016.0,
World,-9876,1016.0,
World,-9875,1016.0,
World,-9874,1017.0,
World,-9873,1017.0,
World,-9872,1017.0,
World,-9871,1017.0,
World,-9870,1018.0,
World,-9869,1018.0,
World,-9868,1018.0,
World,-9867,1018.0,
World,-9866,1019.0,
World,-9865,1019.0,
World,-9864,1019.0,
World,-9863,1020.0,
World,-9862,1020.0,
World,-9861,1020.0,
World,-9860,1020.0,
World,-9859,1021.0,
World,-9858,1021.0,
World,-9857,1021.0,
World,-9856,1022.0,
World,-9855,1022.0,
World,-9854,1022.0,
World,-9853,1022.0,
World,-9852,1023.0,
World,-9851,1023.0,
World,-9850,1023.0,
World,-9849,1023.0,
World,-9848,1024.0,
World,-9847,1024.0,
World,-9846,1024.0,
World,-9845,1025.0,
World,-9844,1025.0,
World,-9843,1025.0,
World,-9842,1025.0,
World,-9841,1026.0,
World,-9840,1026.0,
World,-9839,1026.0,
World,-9838,1027.0,
World,-9837,1027.0,
World,-9836,1027.0,
World,-9835,1027.0,
World,-9834,1028.0,
World,-9833,1028.0,
World,-9832,1028.0,
World,-9831,1028.0,
World,-9830,1029.0,
World,-9829,1029.0,
World,-9828,1029.0,
World,-9827,1030.0,
World,-9826,1030.0,
World,-9825,1030.0,
World,-9824,1030.0,
World,-9823,1031.0,
World,-9822,1031.0,
World,-9821,1031.0,
World,-9820,1032.0,
World,-9819,1032.0,
World,-9818,1032.0,
World,-9817,1032.0,
World,-9816,1033.0,
World,-9815,1033.0,
World,-9814,1033.0,
World,-9813,1034.0,
World,-9812,1034.0,
World,-9811,1034.0,
World,-9810,1034.0,
World,-9809,1035.0,
World,-9808,1035.0,
World,-9807,1035.0,
World,-9806,1036.0,
World,-9805,1036.0,
World,-9804,1036.0,
World,-9803,1036.0,
World,-9802,1037.0,
World,-9801,1037.0,
World,-9800,1037.0,
World,-9799,1038.0,
World,-9798,1038.0,
World,-9797,1038.0,
World,-9796,1038.0,
World,-9795,1039.0,
World,-9794,1039.0,
World,-9793,1039.0,
World,-9792,1040.0,
World,-9791,1040.0,
World,-9790,1040.0,
World,-9789,1040.0,
World,-9788,1041.0,
World,-9787,1041.0,
World,-9786,1041.0,
World,-9785,1042.0,
World,-9784,1042.0,
World,-9783,1042.0,
World,-9782,1042.0,
World,-9781,1043.0,
World,-9780,1043.0,
World,-9779,1043.0,
World,-9778,1044.0,
World,-9777,1044.0,
World,-9776,1044.0,
World,-9775,1044.0,
World,-9774,1045.0,
World,-9773,1045.0,
World,-9772,1045.0,
World,-9771,1046.0,
World,-9770,1046.0,
World,-9769,1046.0,
World,-9768,1046.0,
World,-9767,1047.0,
World,-9766,1047.0,
World,-9765,1047.0,
World,-9764,1048.0,
World,-9763,1048.0,
World,-9762,1048.0,
World,-9761,1048.0,
World,-9760,1049.0,
World,-9759,1049.0,
World,-9758,1049.0,
World,-9757,1050.0,
World,-9756,1050.0,
World,-9755,1050.0,
World,-9754,1050.0,
World,-9753,1051.0,
World,-9752,1051.0,
World,-9751,1051.0,
World,-9750,1052.0,
World,-9749,1052.0,
World,-9748,1052.0,
World,-9747,1052.0,
World,-9746,1053.0,
World,-9745,1053.0,
World,-9744,1053.0,
World,-9743,1054.0,
World,-9742,1054.0,
World,-9741,1054.0,
World,-9740,1054.0,
World,-9739,1055.0,
World,-9738,1055.0,
World,-9737,1055.0,
World,-9736,1056.0,
World,-9735,1056.0,
World,-9734,1056.0,
World,-9733,1056.0,
World,-9732,1057.0,
World,-9731,1057.0,
World,-9730,1057.0,
World,-9729,1058.0,
World,-9728,1058.0,
World,-9727,1058.0,
World,-9726,1059.0,
World,-9725,1059.0,
World,-9724,1059.0,
World,-9723,1059.0,
World,-9722,1060.0,
World,-9721,1060.0,
World,-9720,1060.0,
World,-9719,1061.0,
World,-9718,1061.0,
World,-9717,1061.0,
World,-9716,1061.0,
World,-9715,1062.0,
World,-9714,1062.0,
World,-9713,1062.0,
World,-9712,1063.0,
World,-9711,1063.0,
World,-9710,1063.0,
World,-9709,1063.0,
World,-9708,1064.0,
World,-9707,1064.0,
World,-9706,1064.0,
World,-9705,1065.0,
World,-9704,1065.0,
World,-9703,1065.0,
World,-9702,1066.0,
World,-9701,1066.0,
World,-9700,1066.0,
World,-9699,1066.0,
World,-9698,1067.0,
World,-9697,1067.0,
World,-9696,1067.0,
World,-9695,1068.0,
World,-9694,1068.0,
World,-9693,1068.0,
World,-9692,1068.0,
