Entity,Year,biomass_nox,brown_coal_nox,coal_coke_nox,diesel_oil_nox,hard_coal_nox,heavy_oil_nox,light_oil_nox,natural_gas_nox,process_nox,biomass_so2,brown_coal_so2,coal_coke_so2,diesel_oil_so2,hard_coal_so2,heavy_oil_so2,light_oil_so2,natural_gas_so2,process_so2,biomass_co,brown_coal_co,coal_coke_co,diesel_oil_co,hard_coal_co,heavy_oil_co,light_oil_co,natural_gas_co,process_co,biomass_oc,brown_coal_oc,coal_coke_oc,diesel_oil_oc,hard_coal_oc,heavy_oil_oc,light_oil_oc,natural_gas_oc,process_oc,biomass_nmvoc,brown_coal_nmvoc,coal_coke_nmvoc,diesel_oil_nmvoc,hard_coal_nmvoc,heavy_oil_nmvoc,light_oil_nmvoc,natural_gas_nmvoc,process_nmvoc,biomass_bc,brown_coal_bc,coal_coke_bc
Afghanistan,1750,123.113783149799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.30838990507095,139.417083061054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142073.305754868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5456.8849701504205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13050.0610138787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.229220049831,1633.03077838778,0.0,0.0
Afghanistan,1751,123.615581327135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.10967486301,139.985331687485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142652.380851514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5479.12663036016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13103.2516206763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.317675133372,1639.6868314077,0.0,0.0
Afghanistan,1752,124.117286758253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.910959820949,140.553475285812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143231.348919024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5501.36417969434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13156.4323963748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.406130216913,1646.34165420446,0.0,0.0
Afghanistan,1753,124.618899443155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.712244778886,141.12151385603698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143810.209957401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5523.5976181530405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13209.6033409744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.494585300454,1652.99524677807,0.0,0.0
Afghanistan,1754,125.12041938183998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.513529736823,141.68944739816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144388.963966643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5545.82694573621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13262.764454475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.583040383995,1659.64760912853,0.0,0.0
Afghanistan,1755,125.621846574308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.31481469476,142.25727591217998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144967.610946751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5568.05216244387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13315.9157368766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.671495467535,1666.29874125582,0.0,0.0
Afghanistan,1756,126.12318102056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.116099652699,142.824999398099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145546.15089772598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5590.273268276041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13369.0571881794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.759950551077,1672.94864315998,0.0,0.0
Afghanistan,1757,126.624422720595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.917384610636,143.392617855916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146124.583819567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5612.4902632327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13422.1888083831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.848405634617,1679.59731484098,0.0,0.0
Afghanistan,1758,127.125571674413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.71866956857497,143.96013128563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146702.909712273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5634.7031473138295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13475.3105974878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.93686071815995,1686.24475629882,0.0,0.0
Afghanistan,1759,127.626627882014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.519954526512,144.527539687241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147281.12857584402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5656.91192051944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13528.422555493498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.02531580169995,1692.8909675335,0.0,0.0
