Entity,Year,"Annual share of CO2 emissions (OWID based on GCP, 2017)"
Afghanistan,1751,0.0
Afghanistan,1752,0.0
Afghanistan,1753,0.0
Afghanistan,1754,0.0
Afghanistan,1755,0.0
Afghanistan,1756,0.0
Afghanistan,1757,0.0
Afghanistan,1758,0.0
Afghanistan,1759,0.0
Afghanistan,1760,0.0
Afghanistan,1761,0.0
Afghanistan,1762,0.0
Afghanistan,1763,0.0
Afghanistan,1764,0.0
Afghanistan,1765,0.0
Afghanistan,1766,0.0
Afghanistan,1767,0.0
Afghanistan,1768,0.0
Afghanistan,1769,0.0
Afghanistan,1770,0.0
Afghanistan,1771,0.0
Afghanistan,1772,0.0
Afghanistan,1773,0.0
Afghanistan,1774,0.0
Afghanistan,1775,0.0
Afghanistan,1776,0.0
Afghanistan,1777,0.0
Afghanistan,1778,0.0
Afghanistan,1779,0.0
Afghanistan,1780,0.0
Afghanistan,1781,0.0
Afghanistan,1782,0.0
Afghanistan,1783,0.0
Afghanistan,1784,0.0
Afghanistan,1785,0.0
Afghanistan,1786,0.0
Afghanistan,1787,0.0
Afghanistan,1788,0.0
Afghanistan,1789,0.0
Afghanistan,1790,0.0
Afghanistan,1791,0.0
Afghanistan,1792,0.0
Afghanistan,1793,0.0
Afghanistan,1794,0.0
Afghanistan,1795,0.0
Afghanistan,1796,0.0
Afghanistan,1797,0.0
Afghanistan,1798,0.0
Afghanistan,1799,0.0
Afghanistan,1800,0.0
Afghanistan,1801,0.0
Afghanistan,1802,0.0
Afghanistan,1803,0.0
Afghanistan,1804,0.0
Afghanistan,1805,0.0
Afghanistan,1806,0.0
Afghanistan,1807,0.0
Afghanistan,1808,0.0
Afghanistan,1809,0.0
Afghanistan,1810,0.0
Afghanistan,1811,0.0
Afghanistan,1812,0.0
Afghanistan,1813,0.0
Afghanistan,1814,0.0
Afghanistan,1815,0.0
Afghanistan,1816,0.0
Afghanistan,1817,0.0
Afghanistan,1818,0.0
Afghanistan,1819,0.0
Afghanistan,1820,0.0
Afghanistan,1821,0.0
Afghanistan,1822,0.0
Afghanistan,1823,0.0
Afghanistan,1824,0.0
Afghanistan,1825,0.0
Afghanistan,1826,0.0
Afghanistan,1827,0.0
Afghanistan,1828,0.0
Afghanistan,1829,0.0
Afghanistan,1830,0.0
Afghanistan,1831,0.0
Afghanistan,1832,0.0
Afghanistan,1833,0.0
Afghanistan,1834,0.0
Afghanistan,1835,0.0
Afghanistan,1836,0.0
Afghanistan,1837,0.0
Afghanistan,1838,0.0
Afghanistan,1839,0.0
Afghanistan,1840,0.0
Afghanistan,1841,0.0
Afghanistan,1842,0.0
Afghanistan,1843,0.0
Afghanistan,1844,0.0
Afghanistan,1845,0.0
Afghanistan,1846,0.0
Afghanistan,1847,0.0
Afghanistan,1848,0.0
Afghanistan,1849,0.0
Afghanistan,1850,0.0
Afghanistan,1851,0.0
Afghanistan,1852,0.0
Afghanistan,1853,0.0
Afghanistan,1854,0.0
Afghanistan,1855,0.0
Afghanistan,1856,0.0
Afghanistan,1857,0.0
Afghanistan,1858,0.0
Afghanistan,1859,0.0
Afghanistan,1860,0.0
Afghanistan,1861,0.0
Afghanistan,1862,0.0
Afghanistan,1863,0.0
Afghanistan,1864,0.0
Afghanistan,1865,0.0
Afghanistan,1866,0.0
Afghanistan,1867,0.0
Afghanistan,1868,0.0
Afghanistan,1869,0.0
Afghanistan,1870,0.0
Afghanistan,1871,0.0
Afghanistan,1872,0.0
Afghanistan,1873,0.0
Afghanistan,1874,0.0
Afghanistan,1875,0.0
Afghanistan,1876,0.0
Afghanistan,1877,0.0
Afghanistan,1878,0.0
Afghanistan,1879,0.0
Afghanistan,1880,0.0
Afghanistan,1881,0.0
Afghanistan,1882,0.0
Afghanistan,1883,0.0
Afghanistan,1884,0.0
Afghanistan,1885,0.0
Afghanistan,1886,0.0
Afghanistan,1887,0.0
Afghanistan,1888,0.0
Afghanistan,1889,0.0
Afghanistan,1890,0.0
Afghanistan,1891,0.0
Afghanistan,1892,0.0
Afghanistan,1893,0.0
Afghanistan,1894,0.0
Afghanistan,1895,0.0
Afghanistan,1896,0.0
Afghanistan,1897,0.0
Afghanistan,1898,0.0
Afghanistan,1899,0.0
Afghanistan,1900,0.0
Afghanistan,1901,0.0
Afghanistan,1902,0.0
Afghanistan,1903,0.0
Afghanistan,1904,0.0
Afghanistan,1905,0.0
Afghanistan,1906,0.0
Afghanistan,1907,0.0
Afghanistan,1908,0.0
Afghanistan,1909,0.0
Afghanistan,1910,0.0
Afghanistan,1911,0.0
Afghanistan,1912,0.0
Afghanistan,1913,0.0
Afghanistan,1914,0.0
Afghanistan,1915,0.0
Afghanistan,1916,0.0
Afghanistan,1917,0.0
Afghanistan,1918,0.0
Afghanistan,1919,0.0
Afghanistan,1920,0.0
Afghanistan,1921,0.0
Afghanistan,1922,0.0
Afghanistan,1923,0.0
Afghanistan,1924,0.0
Afghanistan,1925,0.0
Afghanistan,1926,0.0
Afghanistan,1927,0.0
Afghanistan,1928,0.0
Afghanistan,1929,0.0
Afghanistan,1930,0.0
Afghanistan,1931,0.0
Afghanistan,1932,0.0
Afghanistan,1933,0.0
Afghanistan,1934,0.0
Afghanistan,1935,0.0
Afghanistan,1936,0.0
Afghanistan,1937,0.0
Afghanistan,1938,0.0
Afghanistan,1939,0.0
Afghanistan,1940,0.0
Afghanistan,1941,0.0
Afghanistan,1942,0.0
Afghanistan,1943,0.0
Afghanistan,1944,0.0
Afghanistan,1945,0.0
Afghanistan,1946,0.0
Afghanistan,1947,0.0
Afghanistan,1948,0.0
Afghanistan,1949,0.0003
Afghanistan,1950,0.0017
Afghanistan,1951,0.0017
Afghanistan,1952,0.0017
Afghanistan,1953,0.0019
Afghanistan,1954,0.0019
Afghanistan,1955,0.0025
Afghanistan,1956,0.0028
Afghanistan,1957,0.0044
Afghanistan,1958,0.0048
Afghanistan,1959,0.0043
Afghanistan,1960,0.0044
Afghanistan,1961,0.0053
Afghanistan,1962,0.0072
Afghanistan,1963,0.007
Afghanistan,1964,0.0079
Afghanistan,1965,0.0091
Afghanistan,1966,0.0094
Afghanistan,1967,0.0107
Afghanistan,1968,0.0097
Afghanistan,1969,0.007
Afghanistan,1970,0.0114
Afghanistan,1971,0.0124
Afghanistan,1972,0.0096
Afghanistan,1973,0.0098
Afghanistan,1974,0.0115
Afghanistan,1975,0.0127
Afghanistan,1976,0.0113
Afghanistan,1977,0.0132
Afghanistan,1978,0.0115
Afghanistan,1979,0.0116
Afghanistan,1980,0.0092
Afghanistan,1981,0.0106
Afghanistan,1982,0.0113
Afghanistan,1983,0.0134
Afghanistan,1984,0.0146
Afghanistan,1985,0.0175
Afghanistan,1986,0.0154
Afghanistan,1987,0.0148
Afghanistan,1988,0.0131
Afghanistan,1989,0.0125
Afghanistan,1990,0.0116
Afghanistan,1991,0.0109
Afghanistan,1992,0.0063
Afghanistan,1993,0.006
Afghanistan,1994,0.0058
Afghanistan,1995,0.0054
Afghanistan,1996,0.005
Afghanistan,1997,0.0047
Afghanistan,1998,0.0044
Afghanistan,1999,0.0034
Afghanistan,2000,0.0031
Afghanistan,2001,0.0033
Afghanistan,2002,0.0042
Afghanistan,2003,0.0045
Afghanistan,2004,0.0034
Afghanistan,2005,0.0046
Afghanistan,2006,0.0056
Afghanistan,2007,0.0074
Afghanistan,2008,0.0134
Afghanistan,2009,0.0219
Afghanistan,2010,0.026
Afghanistan,2011,0.0363
Afghanistan,2012,0.0313
Afghanistan,2013,0.029
Afghanistan,2014,0.0282
Afghanistan,2015,0.0301
Afghanistan,2016,0.0336
Albania,1751,0.0
Albania,1752,0.0
Albania,1753,0.0
Albania,1754,0.0
Albania,1755,0.0
Albania,1756,0.0
Albania,1757,0.0
Albania,1758,0.0
Albania,1759,0.0
Albania,1760,0.0
Albania,1761,0.0
Albania,1762,0.0
Albania,1763,0.0
Albania,1764,0.0
Albania,1765,0.0
Albania,1766,0.0
Albania,1767,0.0
Albania,1768,0.0
Albania,1769,0.0
Albania,1770,0.0
Albania,1771,0.0
Albania,1772,0.0
Albania,1773,0.0
Albania,1774,0.0
Albania,1775,0.0
Albania,1776,0.0
Albania,1777,0.0
Albania,1778,0.0
Albania,1779,0.0
Albania,1780,0.0
Albania,1781,0.0
Albania,1782,0.0
Albania,1783,0.0
Albania,1784,0.0
Albania,1785,0.0
Albania,1786,0.0
Albania,1787,0.0
Albania,1788,0.0
Albania,1789,0.0
Albania,1790,0.0
Albania,1791,0.0
Albania,1792,0.0
Albania,1793,0.0
Albania,1794,0.0
Albania,1795,0.0
Albania,1796,0.0
Albania,1797,0.0
Albania,1798,0.0
Albania,1799,0.0
Albania,1800,0.0
Albania,1801,0.0
Albania,1802,0.0
Albania,1803,0.0
Albania,1804,0.0
Albania,1805,0.0
Albania,1806,0.0
Albania,1807,0.0
Albania,1808,0.0
Albania,1809,0.0
Albania,1810,0.0
Albania,1811,0.0
Albania,1812,0.0
Albania,1813,0.0
Albania,1814,0.0
Albania,1815,0.0
Albania,1816,0.0
Albania,1817,0.0
Albania,1818,0.0
Albania,1819,0.0
Albania,1820,0.0
Albania,1821,0.0
Albania,1822,0.0
Albania,1823,0.0
Albania,1824,0.0
Albania,1825,0.0
Albania,1826,0.0
Albania,1827,0.0
Albania,1828,0.0
Albania,1829,0.0
Albania,1830,0.0
Albania,1831,0.0
Albania,1832,0.0
Albania,1833,0.0
Albania,1834,0.0
Albania,1835,0.0
Albania,1836,0.0
Albania,1837,0.0
Albania,1838,0.0
Albania,1839,0.0
Albania,1840,0.0
Albania,1841,0.0
Albania,1842,0.0
Albania,1843,0.0
Albania,1844,0.0
Albania,1845,0.0
Albania,1846,0.0
Albania,1847,0.0
Albania,1848,0.0
Albania,1849,0.0
Albania,1850,0.0
Albania,1851,0.0
Albania,1852,0.0
Albania,1853,0.0
Albania,1854,0.0
Albania,1855,0.0
Albania,1856,0.0
Albania,1857,0.0
Albania,1858,0.0
Albania,1859,0.0
Albania,1860,0.0
Albania,1861,0.0
Albania,1862,0.0
Albania,1863,0.0
Albania,1864,0.0
Albania,1865,0.0
Albania,1866,0.0
Albania,1867,0.0
Albania,1868,0.0
Albania,1869,0.0
Albania,1870,0.0
Albania,1871,0.0
Albania,1872,0.0
Albania,1873,0.0
Albania,1874,0.0
Albania,1875,0.0
Albania,1876,0.0
Albania,1877,0.0
Albania,1878,0.0
Albania,1879,0.0
Albania,1880,0.0
Albania,1881,0.0
Albania,1882,0.0
Albania,1883,0.0
Albania,1884,0.0
Albania,1885,0.0
Albania,1886,0.0
Albania,1887,0.0
Albania,1888,0.0
Albania,1889,0.0
Albania,1890,0.0
Albania,1891,0.0
Albania,1892,0.0
Albania,1893,0.0
Albania,1894,0.0
Albania,1895,0.0
Albania,1896,0.0
Albania,1897,0.0
Albania,1898,0.0
Albania,1899,0.0
Albania,1900,0.0
Albania,1901,0.0
Albania,1902,0.0
Albania,1903,0.0
Albania,1904,0.0
Albania,1905,0.0
Albania,1906,0.0
Albania,1907,0.0
Albania,1908,0.0
Albania,1909,0.0
Albania,1910,0.0
Albania,1911,0.0
Albania,1912,0.0
Albania,1913,0.0
Albania,1914,0.0
Albania,1915,0.0
Albania,1916,0.0
Albania,1917,0.0
Albania,1918,0.0
Albania,1919,0.0
Albania,1920,0.0
Albania,1921,0.0
Albania,1922,0.0
Albania,1923,0.0
Albania,1924,0.0
Albania,1925,0.0
Albania,1926,0.0
Albania,1927,0.0
Albania,1928,0.0
Albania,1929,0.0
Albania,1930,0.0
Albania,1931,0.0
Albania,1932,0.0
Albania,1933,0.0002
Albania,1934,0.0002
Albania,1935,0.0005
Albania,1936,0.0034
Albania,1937,0.0073
Albania,1938,0.0092
Albania,1939,0.0108
Albania,1940,0.016
Albania,1941,0.0139
Albania,1942,0.0159
Albania,1943,0.0097
Albania,1944,0.0033
Albania,1945,0.0031
Albania,1946,0.0115
Albania,1947,0.0202
Albania,1948,0.0145
Albania,1949,0.0221
Albania,1950,0.0059
Albania,1951,0.0074
Albania,1952,0.0068
Albania,1953,0.0074
Albania,1954,0.0089
Albania,1955,0.0108
Albania,1956,0.0129
Albania,1957,0.0226
Albania,1958,0.0176
Albania,1959,0.0164
Albania,1960,0.0219
Albania,1961,0.0247
Albania,1962,0.0257
Albania,1963,0.0205
Albania,1964,0.019
Albania,1965,0.0195
