Entity,Year,Annual population growth rate (OWID)
World,-9999,0.040411908
World,-9998,0.040395584
World,-9997,0.040399823
World,-9996,0.040393781
World,-9995,0.040377468
World,-9994,0.040381696
World,-9993,0.040375654
World,-9992,0.040369611
World,-9991,0.040363573
World,-9990,0.04035753
World,-9989,0.040351491
World,-9988,0.04035569
World,-9987,0.04033941
World,-9986,0.040333375
World,-9985,0.040337563
World,-9984,0.040321298
World,-9983,0.040325481
World,-9982,0.040309228
World,-9981,0.0403134
World,-9980,0.040307362
World,-9979,0.040301319
World,-9978,0.040295281
World,-9977,0.040289242
World,-9976,0.040283207
World,-9975,0.040277168
World,-9974,0.040271133
World,-9973,0.040265098
World,-9972,0.040269233
World,-9971,0.040253025
World,-9970,0.040246993
World,-9969,0.040251117
World,-9968,0.040245075
World,-9967,0.040228885
World,-9966,0.040233005
World,-9965,0.04022697
World,-9964,0.040220927
World,-9963,0.040214892
World,-9962,0.040208861
World,-9961,0.040202823
World,-9960,0.040196791
World,-9959,0.040200878
World,-9958,0.040184721
World,-9957,0.04017869
World,-9956,0.040182769
World,-9955,0.040166628
World,-9954,0.040170696
World,-9953,0.040164661
World,-9952,0.040158622
World,-9951,0.040152591
World,-9950,0.040146556
World,-9949,0.040140525
World,-9948,0.04013449
World,-9947,0.040128462
World,-9946,0.040122431
World,-9945,0.040126462
World,-9944,0.040110368
World,-9943,0.040114392
World,-9942,0.040098306
World,-9941,0.040102325
World,-9940,0.04009629
World,-9939,0.040090259
World,-9938,0.040084224
World,-9937,0.040078197
World,-9936,0.040072165
World,-9935,0.040066134
World,-9934,0.040060103
World,-9933,0.040064093
World,-9932,0.040048048
World,-9931,0.040052027
World,-9930,0.040035989
World,-9929,0.04003996
World,-9928,0.040033933
World,-9927,0.040027898
World,-9926,0.040011883
World,-9925,0.040025823
World,-9924,0.040009812
World,-9923,0.040003784
World,-9922,0.039997756
World,-9921,0.040001694
World,-9920,0.039985701
World,-9919,0.039989632
World,-9918,0.039973646
World,-9917,0.039977573
World,-9916,0.039971545
World,-9915,0.039965514
World,-9914,0.039959487
World,-9913,0.039953459
World,-9912,0.039947432
World,-9911,0.039951332
World,-9910,0.039935376
World,-9909,0.039929353
World,-9908,0.039933242
World,-9907,0.039927214
World,-9906,0.039921183
World,-9905,0.039905254
World,-9904,0.039909132
World,-9903,0.039903104
World,-9902,0.039906967
World,-9901,0.039891049
World,-9900,0.039885025
World,-9899,0.039888881
World,-9898,0.039872974
World,-9897,0.039876822
World,-9896,0.03986093
World,-9895,0.039864771
World,-9894,0.039858744
World,-9893,0.03985272
World,-9892,0.039846696
World,-9891,0.039850514
World,-9890,0.039834641
World,-9889,0.039828617
World,-9888,0.039832436
World,-9887,0.039826404
World,-9886,0.039810546
World,-9885,0.039814353
World,-9884,0.039808325
World,-9883,0.039802302
World,-9882,0.039796278
World,-9881,0.039790254
World,-9880,0.039794035
World,-9879,0.039778206
World,-9878,0.039781984
World,-9877,0.039766163
World,-9876,0.039769929
World,-9875,0.039763905
World,-9874,0.039757881
World,-9873,0.039751858
World,-9872,0.039745834
World,-9871,0.03973981
World,-9870,0.039743558
World,-9869,0.039727766
World,-9868,0.039731506
World,-9867,0.039725479
World,-9866,0.039709702
World,-9865,0.039713431
World,-9864,0.039707411
World,-9863,0.039711121
World,-9862,0.03969536
World,-9861,0.03968934
World,-9860,0.039693046
World,-9859,0.039677296
World,-9858,0.039680999
World,-9857,0.039674975
World,-9856,0.039668947
World,-9855,0.039662924
World,-9854,0.039656904
World,-9853,0.03965088
World,-9852,0.039654557
World,-9851,0.03963884
World,-9850,0.039642509
World,-9849,0.0396268
World,-9848,0.039630461
World,-9847,0.039624441
World,-9846,0.039618418
World,-9845,0.039612398
World,-9844,0.039616041
World,-9843,0.03960035
World,-9842,0.039603993
World,-9841,0.039588314
World,-9840,0.039591946
World,-9839,0.039585922
World,-9838,0.039579898
World,-9837,0.039573878
World,-9836,0.039567858
World,-9835,0.039571468
World,-9834,0.039555818
World,-9833,0.039559424
World,-9832,0.039553396
World,-9831,0.039537758
World,-9830,0.039541356
World,-9829,0.039535332
World,-9828,0.039538916
World,-9827,0.039523289
World,-9826,0.039526865
World,-9825,0.039511248
World,-9824,0.039514821
World,-9823,0.039508797
World,-9822,0.039502777
World,-9821,0.039496757
World,-9820,0.039490733
World,-9819,0.039484717
World,-9818,0.039488263
World,-9817,0.039472677
World,-9816,0.039476216
World,-9815,0.039470196
World,-9814,0.039464176
World,-9813,0.039458152
World,-9812,0.039452136
World,-9811,0.039455652
World,-9810,0.039440092
World,-9809,0.039443605
World,-9808,0.039437581
World,-9807,0.039422035
World,-9806,0.039425541
World,-9805,0.039429039
World,-9804,0.039413497
World,-9803,0.039407481
World,-9802,0.039410971
World,-9801,0.039404944
World,-9800,0.039389424
World,-9799,0.039392903
World,-9798,0.039386883
World,-9797,0.039390348
World,-9796,0.03937484
World,-9795,0.0393783
World,-9794,0.039362799
World,-9793,0.039366256
World,-9792,0.039360233
World,-9791,0.039354213
World,-9790,0.039348193
World,-9789,0.039342172
World,-9788,0.039345607
World,-9787,0.039339583
World,-9786,0.039324112
World,-9785,0.03932754
World,-9784,0.039321519
World,-9783,0.039315496
World,-9782,0.039318908
World,-9781,0.039303456
World,-9780,0.03930686
World,-9779,0.039291415
World,-9778,0.03929482
World,-9777,0.039288793
World,-9776,0.039292186
World,-9775,0.039276753
World,-9774,0.039270733
World,-9773,0.039274111
World,-9772,0.039268088
World,-9771,0.039252672
World,-9770,0.039265431
World,-9769,0.039250024
World,-9768,0.039244
World,-9767,0.03924736
World,-9766,0.03923196
World,-9765,0.039235312
World,-9764,0.039229289
World,-9763,0.039223269
World,-9762,0.039217245
World,-9761,0.039220583
World,-9760,0.039205201
World,-9759,0.039208531
World,-9758,0.039202508
World,-9757,0.039196484
World,-9756,0.03919046
World,-9755,0.03918444
World,-9754,0.03917842
World,-9753,0.039181728
World,-9752,0.039175704
World,-9751,0.039169677
World,-9750,0.039163653
World,-9749,0.039157633
World,-9748,0.039151609
World,-9747,0.039154895
World,-9746,0.039139569
World,-9745,0.039142847
World,-9744,0.039136823
World,-9743,0.039130803
World,-9742,0.039134063
World,-9741,0.039118756
World,-9740,0.039122012
World,-9739,0.039115984
World,-9738,0.03910996
World,-9737,0.03910394
World,-9736,0.039097913
World,-9735,0.039091896
World,-9734,0.03909513
World,-9733,0.039089102
World,-9732,0.039083079
World,-9731,0.039077051
World,-9730,0.039071031
World,-9729,0.039065007
World,-9728,0.039068218
World,-9727,0.039062191
World,-9726,0.039056167
World,-9725,0.039050143
World,-9724,0.039044119
World,-9723,0.039038096
World,-9722,0.039041288
World,-9721,0.039035261
World,-9720,0.039020028
World,-9719,0.039023209
World,-9718,0.039026383
World,-9717,0.039011158
World,-9716,0.039014328
World,-9715,0.038999114
World,-9714,0.039002277
World,-9713,0.038996253
World,-9712,0.038999401
World,-9711,0.038984198
World,-9710,0.038987346
World,-9709,0.038981315
World,-9708,0.038966127
World,-9707,0.038978424
World,-9706,0.038963236
World,-9705,0.038957216
World,-9704,0.038960338
World,-9703,0.03895431
World,-9702,0.038948283
World,-9701,0.038942255
World,-9700,0.038936228
World,-9699,0.038939334
World,-9698,0.038933303
World,-9697,0.038927276
World,-9696,0.038921248
World,-9695,0.038915221
World,-9694,0.038909193
World,-9693,0.038912278
World,-9692,0.038906246
World,-9691,0.038900219
World,-9690,0.038894191
World,-9689,0.038888164
World,-9688,0.038891226
World,-9687,0.038876109
World,-9686,0.038879167
World,-9685,0.03887314
World,-9684,0.038867109
World,-9683,0.038870156
World,-9682,0.038855053
World,-9681,0.038858097
World,-9680,0.038852062
World,-9679,0.038846035
World,-9678,0.038849063
World,-9677,0.038833976
World,-9676,0.038836997
World,-9675,0.038830966
World,-9674,0.038824935
World,-9673,0.038818903
World,-9672,0.03882191
World,-9671,0.038815875
World,-9670,0.038800813
World,-9669,0.038812838
World,-9668,0.038797777
World,-9667,0.03879175
World,-9666,0.038794734
World,-9665,0.038788699
World,-9664,0.038782667
World,-9663,0.038776632
World,-9662,0.038770605
World,-9661,0.038773574
World,-9660,0.038767535
World,-9659,0.038761504
World,-9658,0.038755469
World,-9657,0.038749438
World,-9656,0.038752384
World,-9655,0.03874635
World,-9654,0.038740311
World,-9653,0.03873428
World,-9652,0.038728245
World,-9651,0.038731176
World,-9650,0.038725141
World,-9649,0.038719103
World,-9648,0.038713068
World,-9647,0.038707037
World,-9646,0.038709946
World,-9645,0.038703911
World,-9644,0.038697869
World,-9643,0.038691834
World,-9642,0.038685802
World,-9641,0.038688693
World,-9640,0.038682655
World,-9639,0.03867662
World,-9638,0.038670581
World,-9637,0.038664546
World,-9636,0.038667422
World,-9635,0.038661379
World,-9634,0.038655344
World,-9633,0.038649306
World,-9632,0.038643267
World,-9631,0.038646128
World,-9630,0.038640086
World,-9629,0.038634047
World,-9628,0.038628008
World,-9627,0.038630851
World,-9626,0.038624808
World,-9625,0.038618766
World,-9624,0.038612727
World,-9623,0.038606688
World,-9622,0.038609512
World,-9621,0.038594611
World,-9620,0.038606282
World,-9619,0.038591385
World,-9618,0.038585346
World,-9617,0.038588151
World,-9616,0.038582109
World,-9615,0.038576066
World,-9614,0.038570024
World,-9613,0.038572818
World,-9612,0.038557947
World,-9611,0.038560729
World,-9610,0.038563505
World,-9609,0.038548641
World,-9608,0.038551413
World,-9607,0.03853656
World,-9606,0.038539328
World,-9605,0.038542088
World,-9604,0.038527239
World,-9603,0.038529992
World,-9602,0.03852395
World,-9601,0.038517904
World,-9600,0.038520645
World,-9599,0.038505815
World,-9598,0.038508549
World,-9597,0.038502507
World,-9596,0.038496461
World,-9595,0.038499184
World,-9594,0.038493134
World,-9593,0.038487084
World,-9592,0.038481038
World,-9591,0.038474992
World,-9590,0.0384777
World,-9589,0.03847165
World,-9588,0.0384656
World,-9587,0.038459554
World,-9586,0.038462248
World,-9585,0.038456194
World,-9584,0.038450144
World,-9583,0.038444098
World,-9582,0.038446773
World,-9581,0.038440719
World,-9580,0.038434669
World,-9579,0.03842862
World,-9578,0.03842257
World,-9577,0.038425233
World,-9576,0.03841918
World,-9575,0.038413126
World,-9574,0.038415771
World,-9573,0.038401023
World,-9572,0.038403664
World,-9571,0.03839761
World,-9570,0.038400248
World,-9569,0.038385503
World,-9568,0.038388137
World,-9567,0.038382083
World,-9566,0.038384698
World,-9565,0.038369972
World,-9564,0.038372584
World,-9563,0.03836653
World,-9562,0.038360476
World,-9561,0.038363077
World,-9560,0.038357019
World,-9559,0.038350962
World,-9558,0.038344905
World,-9557,0.038347494
World,-9556,0.03833279
World,-9555,0.038344011
World,-9554,0.038329314
World,-9553,0.038323257
World,-9552,0.038325831
World,-9551,0.03831977
World,-9550,0.038313713
World,-9549,0.038316268
World,-9548,0.038310207
World,-9547,0.038304146
World,-9546,0.038298085
World,-9545,0.03830063
World,-9544,0.038294565
World,-9543,0.0382885
World,-9542,0.038282443
World,-9541,0.038276382
World,-9540,0.038278908
World,-9539,0.038272843
World,-9538,0.038275361
World,-9537,0.038260721
World,-9536,0.038263232
World,-9535,0.038257167
World,-9534,0.03825967
World,-9533,0.038245037
World,-9532,0.038247537
World,-9531,0.038241468
World,-9530,0.038243961
World,-9529,0.038229339
World,-9528,0.038231824
World,-9527,0.038234301
World,-9526,0.03821969
World,-9525,0.038222164
World,-9524,0.038216092
World,-9523,0.038210023
World,-9522,0.038212486
World,-9521,0.038197886
World,-9520,0.038200345
World,-9519,0.038202792
World,-9518,0.038188204
World,-9517,0.038190648
World,-9516,0.038184579
World,-9515,0.038187012
World,-9514,0.038172435
World,-9513,0.038174868
World,-9512,0.038168795
World,-9511,0.038171217
World,-9510,0.038165141
World,-9509,0.038159065
World,-9508,0.038152993
World,-9507,0.038155399
World,-9506,0.038140845
World,-9505,0.038151722
World,-9504,0.038137171
World,-9503,0.038139567
World,-9502,0.038133487
World,-9501,0.038127407
World,-9500,0.038121335
World,-9499,0.038123716
World,-9498,0.038117636
World,-9497,0.038120005
World,-9496,0.03810548
World,-9495,0.038107846
World,-9494,0.038101766
World,-9493,0.038104124
World,-9492,0.038089611
World,-9491,0.038100388
World,-9490,0.038085878
World,-9489,0.038079798
World,-9488,0.038082138
World,-9487,0.038076054
World,-9486,0.038078386
World,-9485,0.038072299
World,-9484,0.038066216
World,-9483,0.038060132
World,-9482,0.03806245
World,-9481,0.038056362
