Entity,Year,"Arable land per crop output (PIN) (FAO, 2019)"
Afghanistan,1961,1.0
Afghanistan,1962,0.984297681
Afghanistan,1963,1.014870248
Afghanistan,1964,0.939170881
Afghanistan,1965,0.907330396
Afghanistan,1966,0.926869881
Afghanistan,1967,0.831883836
Afghanistan,1968,0.812322693
Afghanistan,1969,0.792200619
Afghanistan,1970,0.875549871
Afghanistan,1971,0.976855314
Afghanistan,1972,0.830033129
Afghanistan,1973,0.76351101
Afghanistan,1974,0.733978981
Afghanistan,1975,0.713196117
Afghanistan,1976,0.676864135
Afghanistan,1977,0.807630851
Afghanistan,1978,0.724411285
Afghanistan,1979,0.749054287
Afghanistan,1980,0.767528168
Afghanistan,1981,0.789242502
Afghanistan,1982,0.813070074
Afghanistan,1983,0.835879131
Afghanistan,1984,0.854130212
Afghanistan,1985,0.89154055
Afghanistan,1986,0.932999264
Afghanistan,1987,0.926456665
Afghanistan,1988,0.973333261
Afghanistan,1989,1.01583628
Afghanistan,1990,1.019237187
Afghanistan,1991,0.929161289
Afghanistan,1992,0.987610646
Afghanistan,1993,0.912280006
Afghanistan,1994,0.869538016
Afghanistan,1995,0.846514518
Afghanistan,1996,0.833765773
Afghanistan,1997,0.798753435
Afghanistan,1998,0.766546046
Afghanistan,1999,0.818293959
Afghanistan,2000,0.99316772
Afghanistan,2001,0.955763427
Afghanistan,2002,0.78025329
Afghanistan,2003,0.705930424
Afghanistan,2004,0.799047
Afghanistan,2005,0.631612621
Afghanistan,2006,0.663283305
Afghanistan,2007,0.565113682
Afghanistan,2008,0.667906383
Afghanistan,2009,0.522303734
Afghanistan,2010,0.544869103
Afghanistan,2011,0.601921562
Afghanistan,2012,0.509413609
Afghanistan,2013,0.510557555
Afghanistan,2014,0.482710875
Africa,1961,1.0
Africa,1962,0.940870979
Africa,1963,0.922291802
Africa,1964,0.91937652
Africa,1965,0.922824469
Africa,1966,0.925072097
Africa,1967,0.874433385
Africa,1968,0.862775799
Africa,1969,0.857923332
Africa,1970,0.808926748
Africa,1971,0.787482722
Africa,1972,0.790578113
Africa,1973,0.823484513
Africa,1974,0.734064829
Africa,1975,0.730988142
Africa,1976,0.750076847
Africa,1977,0.740083556
Africa,1978,0.726845239
Africa,1979,0.722291676
Africa,1980,0.709725133
Africa,1981,0.672311884
Africa,1982,0.68177722
Africa,1983,0.68919648
Africa,1984,0.695245442
Africa,1985,0.656354726
Africa,1986,0.642288049
Africa,1987,0.642592524
Africa,1988,0.608057665
Africa,1989,0.58213292
Africa,1990,0.578579973
Africa,1991,0.539055546
Africa,1992,0.556495537
Africa,1993,0.545748439
Africa,1994,0.539361794
Africa,1995,0.549448299
Africa,1996,0.495827737
Africa,1997,0.50832438
Africa,1998,0.485665184
Africa,1999,0.473691699
Africa,2000,0.470778372
Africa,2001,0.458924862
Africa,2002,0.448215965
Africa,2003,0.43853186
Africa,2004,0.424624411
Africa,2005,0.413509329
Africa,2006,0.395149718
Africa,2007,0.41203963
Africa,2008,0.393874613
Africa,2009,0.389230657
Africa,2010,0.371215374
Africa,2011,0.378422466
Africa,2012,0.365323949
Africa,2013,0.352161272
Africa,2014,0.338087337
Albania,1961,1.0
Albania,1962,0.91461079
Albania,1963,0.952153969
Albania,1964,0.797252384
Albania,1965,0.92205457
Albania,1966,0.798523903
Albania,1967,0.827573139
Albania,1968,0.816418548
Albania,1969,0.813512068
Albania,1970,0.802944317
Albania,1971,0.796500192
Albania,1972,0.768271746
Albania,1973,0.714361215
Albania,1974,0.712013165
Albania,1975,0.705382569
Albania,1976,0.649441668
Albania,1977,0.619012088
Albania,1978,0.613559473
Albania,1979,0.594783647
Albania,1980,0.634781457
Albania,1981,0.610114079
Albania,1982,0.581540685
Albania,1983,0.519630747
Albania,1984,0.568573115
Albania,1985,0.568951827
Albania,1986,0.563014177
Albania,1987,0.554527916
Albania,1988,0.649768313
Albania,1989,0.539491673
Albania,1990,0.5977817
Albania,1991,0.819654951
Albania,1992,0.745428009
Albania,1993,0.63233015
Albania,1994,0.632569156
Albania,1995,0.615508323
Albania,1996,0.625165159
Albania,1997,0.60785627
Albania,1998,0.562417541
Albania,1999,0.613103113
Albania,2000,0.584610343
Albania,2001,0.566246654
Albania,2002,0.582511325
Albania,2003,0.551409141
Albania,2004,0.513991086
Albania,2005,0.480877989
Albania,2006,0.484886556
Albania,2007,0.493030367
Albania,2008,0.446150057
Albania,2009,0.415554096
Albania,2010,0.388659967
Albania,2011,0.363629662
Albania,2012,0.335181052
Albania,2013,0.336991784
Albania,2014,0.327059165
Algeria,1961,1.0
Algeria,1962,0.914938123
Algeria,1963,0.886926552
Algeria,1964,1.021761058
Algeria,1965,0.888341478
Algeria,1966,1.481938734
Algeria,1967,1.353063279
Algeria,1968,0.999766409
Algeria,1969,1.11963235
Algeria,1970,1.073464945
Algeria,1971,1.06907264
Algeria,1972,1.267084162
Algeria,1973,1.377341928
Algeria,1974,1.273381378
Algeria,1975,1.184719221
Algeria,1976,1.36592659
Algeria,1977,1.80960551
Algeria,1978,1.815689383
Algeria,1979,1.524700168
Algeria,1980,1.391707608
Algeria,1981,1.357840293
Algeria,1982,1.731973865
Algeria,1983,1.591391478
Algeria,1984,1.522531797
Algeria,1985,1.100882961
Algeria,1986,1.093965786
Algeria,1987,1.177383939
Algeria,1988,1.362570717
Algeria,1989,1.179503778
Algeria,1990,1.33294058
Algeria,1991,1.026225658
Algeria,1992,0.965516591
Algeria,1993,1.072656189
Algeria,1994,1.271625597
Algeria,1995,1.052450166
Algeria,1996,0.796465853
Algeria,1997,1.138354416
Algeria,1998,0.975098667
Algeria,1999,0.887536478
Algeria,2000,1.041006163
Algeria,2001,0.889496923
Algeria,2002,0.86622603
Algeria,2003,0.671371346
Algeria,2004,0.586493522
Algeria,2005,0.587308101
Algeria,2006,0.565024331
Algeria,2007,0.672467155
Algeria,2008,0.649471358
Algeria,2009,0.470318022
Algeria,2010,0.457408983
Algeria,2011,0.420850766
Algeria,2012,0.394039433
Algeria,2013,0.345789846
Algeria,2014,0.35867114
American Samoa,1961,1.0
American Samoa,1962,0.949534774
American Samoa,1963,0.885571408
American Samoa,1964,0.920079462
American Samoa,1965,0.963205887
American Samoa,1966,0.936391913
American Samoa,1967,0.859651628
American Samoa,1968,0.843868255
American Samoa,1969,0.767886749
American Samoa,1970,0.805700522
American Samoa,1971,0.877057538
American Samoa,1972,0.892264375
American Samoa,1973,0.905822175
American Samoa,1974,0.964903846
American Samoa,1975,0.984306032
American Samoa,1976,1.047312576
American Samoa,1977,1.075754869
American Samoa,1978,1.144024321
American Samoa,1979,1.364996599
American Samoa,1980,1.226023213
American Samoa,1981,1.233811475
American Samoa,1982,1.231288344
American Samoa,1983,1.268380029
American Samoa,1984,1.336514983
American Samoa,1985,1.383819812
American Samoa,1986,1.350605653
American Samoa,1987,1.466033601
American Samoa,1988,1.468178493
American Samoa,1989,1.475735294
American Samoa,1990,1.339190391
American Samoa,1991,1.43254818
American Samoa,1992,1.618548387
American Samoa,1993,1.452301508
American Samoa,1994,1.347231027
American Samoa,1995,1.592857143
American Samoa,1996,1.973451327
American Samoa,1997,1.875408815
American Samoa,1998,1.702450518
American Samoa,1999,2.272075472
American Samoa,2000,2.01048484
American Samoa,2001,1.749273678
American Samoa,2002,1.659958094
American Samoa,2003,1.994459982
American Samoa,2004,2.047326121
American Samoa,2005,1.975865155
American Samoa,2006,1.940550835
American Samoa,2007,1.732661871
American Samoa,2008,1.672029271
American Samoa,2009,1.650191851
American Samoa,2010,1.622473727
American Samoa,2011,1.645081967
American Samoa,2012,1.705504674
American Samoa,2013,1.576040485
American Samoa,2014,1.590192799
Americas,1961,1.0
Americas,1962,0.962575529
Americas,1963,0.941631358
Americas,1964,0.949946685
Americas,1965,0.875523759
Americas,1966,0.886851201
Americas,1967,0.851777151
Americas,1968,0.860251449
Americas,1969,0.87683996
Americas,1970,0.883830086
Americas,1971,0.807746996
Americas,1972,0.818065746
Americas,1973,0.786821788
Americas,1974,0.805341836
Americas,1975,0.753269898
Americas,1976,0.748684481
Americas,1977,0.697899323
Americas,1978,0.691331996
Americas,1979,0.653041518
Americas,1980,0.682055303
Americas,1981,0.615268269
Americas,1982,0.607054765
Americas,1983,0.72074268
Americas,1984,0.617174781
Americas,1985,0.582063852
Americas,1986,0.616820852
Americas,1987,0.599791441
Americas,1988,0.645929956
Americas,1989,0.594500108
Americas,1990,0.57362162
Americas,1991,0.579758925
Americas,1992,0.539182761
Americas,1993,0.583853757
Americas,1994,0.50770731
Americas,1995,0.543625539
Americas,1996,0.513610441
Americas,1997,0.49159949
Americas,1998,0.486456599
Americas,1999,0.471844818
Americas,2000,0.464462368
Americas,2001,0.463828331
Americas,2002,0.467655902
Americas,2003,0.443240085
Americas,2004,0.414616237
Americas,2005,0.41798654
Americas,2006,0.415483661
Americas,2007,0.39161417
Americas,2008,0.382526283
Americas,2009,0.38458768
Americas,2010,0.366636794
Americas,2011,0.360594636
Americas,2012,0.373285157
Americas,2013,0.345564829
Americas,2014,0.34099523
Angola,1961,1.0
Angola,1962,0.947975349
Angola,1963,0.982205292
Angola,1964,0.922107121
Angola,1965,0.898698246
Angola,1966,0.872868742
Angola,1967,0.86052695
Angola,1968,0.892670843
Angola,1969,0.841599689
Angola,1970,0.826151708
Angola,1971,0.805777123
Angola,1972,0.843208559
Angola,1973,0.822607977
Angola,1974,0.81305511
Angola,1975,0.967073881
Angola,1976,1.162578801
Angola,1977,1.234142129
Angola,1978,1.297301168
Angola,1979,1.425605679
Angola,1980,1.418271373
Angola,1981,1.556944571
Angola,1982,1.555846198
Angola,1983,1.549288363
Angola,1984,1.534199642
Angola,1985,1.536337154
Angola,1986,1.468805851
Angola,1987,1.449975007
Angola,1988,1.451884124
Angola,1989,1.466364352
Angola,1990,1.506943618
Angola,1991,1.434880927
Angola,1992,1.371894573
Angola,1993,1.409178922
Angola,1994,1.143302768
Angola,1995,1.162231622
Angola,1996,1.14732747
Angola,1997,1.195734106
Angola,1998,0.980008881
Angola,1999,1.057946058
Angola,2000,0.868631515
Angola,2001,0.724503231
Angola,2002,0.634165262
Angola,2003,0.61374584
Angola,2004,0.538022669
Angola,2005,0.493628391
Angola,2006,0.477883794
Angola,2007,0.428656404
Angola,2008,0.398436772
Angola,2009,0.354601337
Angola,2010,0.343561925
Angola,2011,0.355456058
Angola,2012,0.451156629
Angola,2013,0.327882602
Angola,2014,0.394159696
Antigua and Barbuda,1961,1.0
Antigua and Barbuda,1962,0.83543508
Antigua and Barbuda,1963,0.778786793
Antigua and Barbuda,1964,0.681764296
Antigua and Barbuda,1965,1.221833406
Antigua and Barbuda,1966,1.587480718
Antigua and Barbuda,1967,1.674713684
Antigua and Barbuda,1968,2.292185825
Antigua and Barbuda,1969,2.002355351
Antigua and Barbuda,1970,1.923750492
Antigua and Barbuda,1971,0.984683453
Antigua and Barbuda,1972,0.943920572
Antigua and Barbuda,1973,0.977389363
Antigua and Barbuda,1974,1.023074508
Antigua and Barbuda,1975,0.946112903
Antigua and Barbuda,1976,0.951515053
Antigua and Barbuda,1977,0.939084913
Antigua and Barbuda,1978,0.902113066
Antigua and Barbuda,1979,0.855686194
Antigua and Barbuda,1980,0.820635143
Antigua and Barbuda,1981,0.723827739
Antigua and Barbuda,1982,0.758495397
Antigua and Barbuda,1983,0.827395058
Antigua and Barbuda,1984,0.836933569
Antigua and Barbuda,1985,0.969121729
Antigua and Barbuda,1986,0.960457805
Antigua and Barbuda,1987,0.921268375
Antigua and Barbuda,1988,0.87610897
Antigua and Barbuda,1989,1.060357918
Antigua and Barbuda,1990,0.999029225
Antigua and Barbuda,1991,0.929943879
Antigua and Barbuda,1992,0.924404312
Antigua and Barbuda,1993,0.933228331
Antigua and Barbuda,1994,0.937254338
Antigua and Barbuda,1995,0.958480392
Antigua and Barbuda,1996,0.936715531
Antigua and Barbuda,1997,0.919016732
Antigua and Barbuda,1998,0.927825757
Antigua and Barbuda,1999,0.904812587
Antigua and Barbuda,2000,0.90598647
Antigua and Barbuda,2001,0.911731791
Antigua and Barbuda,2002,0.875559735
Antigua and Barbuda,2003,0.864412025
Antigua and Barbuda,2004,0.840772274
Antigua and Barbuda,2005,1.100957207
Antigua and Barbuda,2006,1.030081129
Antigua and Barbuda,2007,0.960174818
Antigua and Barbuda,2008,0.921528891
Antigua and Barbuda,2009,0.903975959
Antigua and Barbuda,2010,0.890310536
Antigua and Barbuda,2011,0.88419101
Antigua and Barbuda,2012,0.913691589
Antigua and Barbuda,2013,0.896844326
Antigua and Barbuda,2014,0.88148048
Argentina,1961,1.0
Argentina,1962,1.006280268
Argentina,1963,0.929473046
Argentina,1964,0.893246429
Argentina,1965,1.006227841
Argentina,1966,1.00672554
Argentina,1967,0.917146585
Argentina,1968,1.143627388
Argentina,1969,1.163390598
Argentina,1970,1.068626768
Argentina,1971,1.022098625
Argentina,1972,1.135162632
Argentina,1973,1.00018228
Argentina,1974,0.878155151
Argentina,1975,0.922830053
Argentina,1976,0.860070538
Argentina,1977,0.862963616
Argentina,1978,0.798855553
Argentina,1979,0.765811209
Argentina,1980,0.866921209
Argentina,1981,0.766955919
Argentina,1982,0.693915373
