Entity,Year,Armed forces personnel (IISS via World Bank (2017)),Total population (World Bank (2017)),Armed forces personnel (% of total population) (World Bank (2017))
Afghanistan,1960,,8996351.0,
Afghanistan,1961,,9166764.0,
Afghanistan,1962,,9345868.0,
Afghanistan,1963,,9533954.0,
Afghanistan,1964,,9731361.0,
Afghanistan,1965,,9938414.0,
Afghanistan,1966,,10152331.0,
Afghanistan,1967,,10372630.0,
Afghanistan,1968,,10604346.0,
Afghanistan,1969,,10854428.0,
Afghanistan,1970,,11126123.0,
Afghanistan,1971,,11417825.0,
Afghanistan,1972,,11721940.0,
Afghanistan,1973,,12027822.0,
Afghanistan,1974,,12321541.0,
Afghanistan,1975,,12590286.0,
Afghanistan,1976,,12840299.0,
Afghanistan,1977,,13067538.0,
Afghanistan,1978,,13237734.0,
Afghanistan,1979,,13306695.0,
Afghanistan,1980,,13248370.0,
Afghanistan,1981,,13053954.0,
Afghanistan,1982,,12749645.0,
Afghanistan,1983,,12389269.0,
Afghanistan,1984,,12047115.0,
Afghanistan,1985,47000.0,11783050.0,0.39887804
Afghanistan,1986,,11601041.0,
Afghanistan,1987,,11502761.0,
Afghanistan,1988,,11540888.0,
Afghanistan,1989,55000.0,11777609.0,0.46698782
Afghanistan,1990,58000.0,12249114.0,0.47350365
Afghanistan,1991,45000.0,12993657.0,0.34632283
Afghanistan,1992,45000.0,13981231.0,0.32186007
Afghanistan,1993,45000.0,15095099.0,0.29811001
Afghanistan,1994,45000.0,16172719.0,0.27824634
Afghanistan,1995,383000.0,17099541.0,2.2398262
Afghanistan,1996,429000.0,17822884.0,2.4070179
Afghanistan,1997,429000.0,18381605.0,2.3338549
Afghanistan,1998,400000.0,18863999.0,2.1204412
Afghanistan,1999,400000.0,19403676.0,2.061465
Afghanistan,2000,400000.0,20093756.0,1.9906682
Afghanistan,2001,,20966463.0,
Afghanistan,2002,120000.0,21979923.0,0.5459528
Afghanistan,2003,130000.0,23064851.0,0.5636282
Afghanistan,2004,27000.0,24118979.0,0.11194504
Afghanistan,2005,27000.0,25070798.0,0.10769501
Afghanistan,2006,51000.0,25893450.0,0.196961
Afghanistan,2007,51000.0,26616792.0,0.19160837
Afghanistan,2008,94000.0,27294031.0,0.34439763
Afghanistan,2009,255745.0,28004331.0,0.91323376
Afghanistan,2010,306800.0,28803167.0,1.0651606
Afghanistan,2011,340350.0,29708599.0,1.1456279
Afghanistan,2012,338150.0,30696958.0,1.1015749
Afghanistan,2013,330650.0,31731688.0,1.0420183
Afghanistan,2014,308800.0,32758020.0,0.94266993
Afghanistan,2015,319400.0,33736494.0,0.94674921
Afghanistan,2016,,34656032.0,
Albania,1960,,1608800.0,
Albania,1961,,1659800.0,
Albania,1962,,1711319.0,
Albania,1963,,1762621.0,
Albania,1964,,1814135.0,
Albania,1965,,1864791.0,
Albania,1966,,1914573.0,
Albania,1967,,1965598.0,
Albania,1968,,2022272.0,
Albania,1969,,2081695.0,
Albania,1970,,2135479.0,
Albania,1971,,2187853.0,
Albania,1972,,2243126.0,
Albania,1973,,2296752.0,
Albania,1974,,2350124.0,
Albania,1975,,2404831.0,
Albania,1976,,2458526.0,
Albania,1977,,2513546.0,
Albania,1978,,2566266.0,
Albania,1979,,2617832.0,
Albania,1980,,2671997.0,
Albania,1981,,2726056.0,
Albania,1982,,2784278.0,
Albania,1983,,2843960.0,
Albania,1984,,2904429.0,
Albania,1985,40400.0,2964762.0,1.3626726
Albania,1986,,3022635.0,
Albania,1987,,3083605.0,
Albania,1988,,3142336.0,
Albania,1989,,3227943.0,
Albania,1990,,3286542.0,
Albania,1991,,3266790.0,
Albania,1992,65000.0,3247039.0,2.0018239
Albania,1993,65000.0,3227287.0,2.0140755
Albania,1994,65000.0,3207536.0,2.0264776
Albania,1995,86500.0,3187784.0,2.7134838
Albania,1996,67500.0,3168033.0,2.1306596
Albania,1997,67500.0,3148281.0,2.1440272
Albania,1998,67500.0,3128530.0,2.1575627
Albania,1999,67500.0,3108778.0,2.1712711
Albania,2000,67500.0,3089027.0,2.1851542
Albania,2001,40500.0,3060173.0,1.3234546
Albania,2002,27000.0,3051010.0,0.88495284
Albania,2003,22000.0,3039616.0,0.72377563
Albania,2004,21500.0,3026939.0,0.71028852
Albania,2005,22500.0,3011487.0,0.74713922
Albania,2006,11500.0,2992547.0,0.38428804
Albania,2007,14500.0,2970017.0,0.4882127
Albania,2008,14500.0,2947314.0,0.49197337
Albania,2009,14745.0,2927519.0,0.50366879
Albania,2010,14745.0,2913021.0,0.50617552
Albania,2011,14750.0,2905195.0,0.50771117
Albania,2012,14750.0,2900401.0,0.50855035
Albania,2013,8500.0,2895092.0,0.29360035
Albania,2014,8500.0,2889104.0,0.29420885
Albania,2015,8500.0,2880703.0,0.29506686
Albania,2016,,2876101.0,
Algeria,1960,,11124888.0,
Algeria,1961,,11404859.0,
Algeria,1962,,11690153.0,
Algeria,1963,,11985136.0,
Algeria,1964,,12295970.0,
Algeria,1965,,12626952.0,
Algeria,1966,,12980267.0,
Algeria,1967,,13354197.0,
Algeria,1968,,13744387.0,
Algeria,1969,,14144438.0,
Algeria,1970,,14550034.0,
Algeria,1971,,14960109.0,
Algeria,1972,,15377093.0,
Algeria,1973,,15804428.0,
Algeria,1974,,16247113.0,
Algeria,1975,,16709099.0,
Algeria,1976,,17190239.0,
Algeria,1977,,17690184.0,
Algeria,1978,,18212326.0,
Algeria,1979,,18760761.0,
Algeria,1980,,19337715.0,
Algeria,1981,,19943664.0,
Algeria,1982,,20575701.0,
Algeria,1983,,21228289.0,
Algeria,1984,,21893853.0,
Algeria,1985,170000.0,22565905.0,0.75334889
Algeria,1986,,23241272.0,
Algeria,1987,,23917897.0,
Algeria,1988,,24591492.0,
Algeria,1989,126000.0,25257672.0,0.49885833
Algeria,1990,126000.0,25912367.0,0.4862543
Algeria,1991,126000.0,26554329.0,0.4744989
Algeria,1992,126000.0,27181094.0,0.46355751
Algeria,1993,126000.0,27786259.0,0.45346156
Algeria,1994,126000.0,28362253.0,0.44425243
Algeria,1995,162900.0,28904298.0,0.56358403
Algeria,1996,164900.0,29411415.0,0.56066668
Algeria,1997,270200.0,29886839.0,0.90407687
Algeria,1998,268200.0,30335732.0,0.88410592
Algeria,1999,303200.0,30765613.0,0.98551589
Algeria,2000,305200.0,31183660.0,0.97871768
Algeria,2001,305200.0,31592153.0,0.96606266
Algeria,2002,317900.0,31995046.0,0.99359131
Algeria,2003,308700.0,32403514.0,0.95267445
Algeria,2004,318000.0,32831096.0,0.9685939
Algeria,2005,319000.0,33288437.0,0.9582907
Algeria,2006,334000.0,33777915.0,0.98881179
Algeria,2007,334000.0,34300076.0,0.97375876
Algeria,2008,334000.0,34860715.0,0.95809853
Algeria,2009,334200.0,35465760.0,0.94231731
Algeria,2010,317200.0,36117637.0,0.8782413
Algeria,2011,317200.0,36819558.0,0.86149865
Algeria,2012,317200.0,37565847.0,0.84438401
Algeria,2013,317200.0,38338562.0,0.8273654
Algeria,2014,317200.0,39113313.0,0.81097704
Algeria,2015,317200.0,39871528.0,0.79555517
Algeria,2016,,40606052.0,
American Samoa,1960,,20013.0,
American Samoa,1961,,20486.0,
American Samoa,1962,,21117.0,
American Samoa,1963,,21882.0,
American Samoa,1964,,22698.0,
American Samoa,1965,,23520.0,
American Samoa,1966,,24321.0,
American Samoa,1967,,25116.0,
American Samoa,1968,,25885.0,
American Samoa,1969,,26614.0,
American Samoa,1970,,27292.0,
American Samoa,1971,,27916.0,
American Samoa,1972,,28492.0,
American Samoa,1973,,29014.0,
American Samoa,1974,,29488.0,
American Samoa,1975,,29932.0,
American Samoa,1976,,30321.0,
American Samoa,1977,,30689.0,
American Samoa,1978,,31102.0,
American Samoa,1979,,31673.0,
American Samoa,1980,,32457.0,
American Samoa,1981,,33493.0,
American Samoa,1982,,34738.0,
American Samoa,1983,,36160.0,
American Samoa,1984,,37688.0,
American Samoa,1985,,39241.0,
American Samoa,1986,,40837.0,
American Samoa,1987,,42450.0,
American Samoa,1988,,44047.0,
American Samoa,1989,,45593.0,
American Samoa,1990,,47038.0,
American Samoa,1991,,48375.0,
American Samoa,1992,,49593.0,
American Samoa,1993,,50720.0,
American Samoa,1994,,51803.0,
American Samoa,1995,,52868.0,
American Samoa,1996,,53929.0,
American Samoa,1997,,54941.0,
American Samoa,1998,,55901.0,
American Samoa,1999,,56770.0,
American Samoa,2000,,57521.0,
American Samoa,2001,,58175.0,
American Samoa,2002,,58731.0,
American Samoa,2003,,59117.0,
American Samoa,2004,,59264.0,
American Samoa,2005,,59118.0,
American Samoa,2006,,58650.0,
American Samoa,2007,,57903.0,
American Samoa,2008,,57030.0,
American Samoa,2009,,56227.0,
American Samoa,2010,,55637.0,
American Samoa,2011,,55320.0,
American Samoa,2012,,55230.0,
American Samoa,2013,,55307.0,
American Samoa,2014,,55437.0,
American Samoa,2015,,55537.0,
American Samoa,2016,,55599.0,
Andorra,1960,,13411.0,
Andorra,1961,,14375.0,
Andorra,1962,,15370.0,
Andorra,1963,,16412.0,
Andorra,1964,,17469.0,
Andorra,1965,,18549.0,
Andorra,1966,,19647.0,
Andorra,1967,,20758.0,
Andorra,1968,,21890.0,
Andorra,1969,,23058.0,
Andorra,1970,,24276.0,
Andorra,1971,,25559.0,
Andorra,1972,,26892.0,
Andorra,1973,,28232.0,
Andorra,1974,,29520.0,
Andorra,1975,,30705.0,
Andorra,1976,,31777.0,
Andorra,1977,,32771.0,
Andorra,1978,,33737.0,
Andorra,1979,,34818.0,
Andorra,1980,,36067.0,
Andorra,1981,,37500.0,
Andorra,1982,,39114.0,
Andorra,1983,,40867.0,
Andorra,1984,,42706.0,
Andorra,1985,,44600.0,
Andorra,1986,,46517.0,
Andorra,1987,,48455.0,
Andorra,1988,,50434.0,
Andorra,1989,,52448.0,
Andorra,1990,,54509.0,
Andorra,1991,,56671.0,
Andorra,1992,,58888.0,
Andorra,1993,,60971.0,
Andorra,1994,,62677.0,
Andorra,1995,,63850.0,
Andorra,1996,,64360.0,
Andorra,1997,,64327.0,
Andorra,1998,,64142.0,
Andorra,1999,,64370.0,
Andorra,2000,,65390.0,
Andorra,2001,,67341.0,
Andorra,2002,,70049.0,
Andorra,2003,,73182.0,
Andorra,2004,,76244.0,
Andorra,2005,,78867.0,
Andorra,2006,,80991.0,
Andorra,2007,,82683.0,
Andorra,2008,,83861.0,
