Entity,Year,barley_attainable,cassava_attainable,cotton_attainable,groundnut_attainable,maize_attainable,millet_attainable,oilpalm_attainable,potato_attainable,rapeseed_attainable,rice_attainable,rye_attainable,sorghum_attainable,soybean_attainable,sugarbeet_attainable,sugarcane_attainable,sunflower_attainable,wheat_attainable,wheat_yield_gap,barley_yield_gap,rye_yield_gap,millet_yield_gap,sorghum_yield_gap,maize_yield_gap,cassava_yield_gap,soybeans_yield_gap,rapeseed_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,potato_yield_gap,oilpalm_yield_gap,groundnut_yield_gap,rice_yield_gap,sunflower_yield_gap,cotton_yield_gap
Afghanistan,1961,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.98,2.21,,1.17,,9.0,,,,66.02000000000001,0.0,37.14,,,7.84,0.4000000000000001,2.6799999999999997
Afghanistan,1962,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.03,2.21,,1.16,,9.0,,,,61.220000000000006,0.0,38.14,,,7.84,0.31,2.48
Afghanistan,1963,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.17,2.21,,1.16,,8.97,,,,62.39000000000001,0.0,37.68,,,7.84,0.31,2.4299999999999997
Afghanistan,1964,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.05,2.2,,1.15,,8.97,,,,69.15,0.0,37.21,,,7.629999999999999,0.31,2.6999999999999997
Afghanistan,1965,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.03,2.2,,1.14,,8.96,,,,64.01,0.0,37.010000000000005,,,7.629999999999999,0.26,2.41
Afghanistan,1966,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.13,2.22,,1.14,,8.96,,,,64.01,0.0,36.74,,,7.84,0.1600000000000001,2.05
Afghanistan,1967,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.88,2.16,,1.13,,8.99,,,,63.120000000000005,0.0,36.010000000000005,,,7.44,0.1600000000000001,2.0199999999999996
Afghanistan,1968,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.84,2.1500000000000004,,1.1,,8.690000000000001,,,,64.23,0.0,35.81,,,7.409999999999999,0.09,2.0199999999999996
Afghanistan,1969,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.81,2.14,,1.12,,8.68,,,,63.23,0.0,35.61,,,7.379999999999999,0.07,1.7599999999999998
Afghanistan,1970,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.04,2.12,,1.13,,8.92,,,,63.92,0.0,36.27,,,7.549999999999999,0.1600000000000001,1.92
Afghanistan,1971,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.19,2.16,,1.15,,9.06,,,,64.37,0.0,34.68,,,7.609999999999999,0.52,2.16
Afghanistan,1972,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.15,2.2,,1.15,,8.83,,,,64.25,0.0,35.42,,,7.459999999999999,0.25,2.2
Afghanistan,1973,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.83,2.16,,1.17,,8.780000000000001,,,,65.34,0.0,34.81,,,7.359999999999999,0.1600000000000001,1.88
