Entity,Year,Manuscript production per century,Production of printed books per half century,Annual per capita consumption of books
Austria,500,0.0,,
Austria,600,0.0,,
Austria,700,2735.0,,
Austria,800,9414.0,,
Austria,900,0.0,,
Austria,1000,2808.0,,
Austria,1100,37370.0,,
Austria,1200,37408.0,,
Austria,1300,39777.0,,
Austria,1400,88623.0,,
Belgium,500,0.0,,
Belgium,600,127.0,,
Belgium,700,1111.0,,
Belgium,800,3029.0,,
Belgium,900,1555.0,,
Belgium,1000,8529.0,,
Belgium,1100,43219.0,,
Belgium,1200,119588.0,,
Belgium,1300,106148.0,,
Belgium,1400,572124.0,,
Belgium,1475,,394000.0,0.0047
Belgium,1525,,1963000.0,0.0177
Belgium,1575,,5720000.0,0.0482
Belgium,1625,,4334000.0,0.0332
Belgium,1675,,7203000.0,0.0736
Belgium,1725,,3016000.0,0.0307
Belgium,1775,,4817000.0,0.0445
Bohemia,500,0.0,,
Bohemia,600,0.0,,
Bohemia,700,0.0,,
Bohemia,800,0.0,,
Bohemia,900,0.0,,
Bohemia,1000,657.0,,
Bohemia,1100,1136.0,,
Bohemia,1200,5377.0,,
Bohemia,1300,42066.0,,
Bohemia,1400,45363.0,,
British Isles,500,81.0,,
British Isles,600,1026.0,,
British Isles,700,5474.0,,
British Isles,800,7926.0,,
British Isles,900,9793.0,,
British Isles,1000,20360.0,,
British Isles,1100,81044.0,,
British Isles,1200,200654.0,,
British Isles,1300,155513.0,,
British Isles,1400,208729.0,,
Central Europe,500,0.0,,
Central Europe,600,0.0,,
Central Europe,700,0.0,,
Central Europe,800,0.0,,
Central Europe,900,0.0,,
Central Europe,1000,3983.0,,
Central Europe,1100,27530.0,,
Central Europe,1200,120987.0,,
Central Europe,1300,301833.0,,
Central Europe,1400,376650.0,,
France,550,1682.0,,
France,650,2441.0,,
France,750,15920.0,,
France,850,74190.0,,
France,950,12752.0,,
France,1050,45061.0,,
France,1150,197831.0,,
France,1250,510828.0,,
France,1350,564624.0,,
France,1450,1195783.0,,
France,1475,,2861000.0,0.0032
France,1525,,34736000.0,0.0299
France,1575,,39084000.0,0.0337
France,1625,,61257000.0,0.0522
France,1675,,85163000.0,0.0701
France,1725,,73631000.0,0.0587
France,1775,,157153000.0,0.1179
Germany,500,0.0,,
Germany,600,0.0,,
Germany,700,7503.0,,
Germany,800,59771.0,,
Germany,900,45703.0,,
Germany,1000,49548.0,,
Germany,1100,166876.0,,
Germany,1200,270392.0,,
Germany,1300,293814.0,,
Germany,1400,515116.0,,
Germany,1475,,3227000.0,0.0041
Germany,1525,,15603000.0,0.0212
Germany,1575,,32112000.0,0.0434
Germany,1625,,40553000.0,0.054
Germany,1675,,57708000.0,0.0787
Germany,1725,,78205000.0,0.0997
Germany,1775,,116814000.0,0.1224
Great Britain,1475,,208000.0,0.002
Great Britain,1525,,2807000.0,0.0146
Great Britain,1575,,7999000.0,0.0273
Great Britain,1625,,32912000.0,0.08
Great Britain,1675,,89306000.0,0.1918
Great Britain,1725,,89259000.0,0.1683
Great Britain,1775,,138355000.0,0.192
Iberia,500,1594.0,,
Iberia,600,2512.0,,
Iberia,700,3770.0,,
Iberia,800,21693.0,,
Iberia,900,48763.0,,
Iberia,1000,40871.0,,
Iberia,1100,114422.0,,
Iberia,1200,237818.0,,
Iberia,1300,344284.0,,
Iberia,1400,390478.0,,
Ireland,1475,,0.0,0.0
Ireland,1525,,0.0,0.0
Ireland,1575,,4000.0,0.0001
Ireland,1625,,268000.0,0.0038
Ireland,1675,,1341000.0,0.0142
Ireland,1725,,8586000.0,0.0617
Ireland,1775,,17598000.0,0.0777
Italy,500,10194.0,,
Italy,600,4478.0,,
Italy,700,6536.0,,
Italy,800,20307.0,,
Italy,900,15215.0,,
Italy,1000,38768.0,,
Italy,1100,95207.0,,
Italy,1200,253013.0,,
Italy,1300,879364.0,,
Italy,1400,1423668.0,,
Italy,1475,,4532000.0,0.0068
Italy,1525,,16719000.0,0.0213
Italy,1575,,41641000.0,0.051
Italy,1625,,35067000.0,0.0421
