Entity,Year,Aviation and shipping,Aviation and shipping (per capita),Buildings,Buildings (per capita),Electricity and heat,Electricity and heat (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Manufacturing and construction,Manufacturing and construction (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Transport,Transport (per capita)
Afghanistan,1990,0.02,0.0016113034873199,0.08,0.0064452139492798,0.27,0.0217525970788195,2.92,0.2352503091487153,0.33,0.0265865075407794,0.04,0.0032226069746399,-2.39,-0.1925507667347362,0.57,0.045922149388619,0.0,0.0,2.96,0.2384729161233553,0.58,0.046727801132279,1.67,0.1345438411912173
Afghanistan,1991,0.02,0.0015038706623106,0.07,0.0052635473180872,0.27,0.0203022539411938,2.69,0.2022706040807831,0.27,0.0203022539411938,0.04,0.0030077413246213,-2.39,-0.1797125441461233,0.53,0.0398525725512323,0.0,0.0,2.74,0.2060302807365597,0.35,0.0263177365904364,1.55,0.1165499763290757
Afghanistan,1992,0.02,0.0013806869373139,0.03,0.0020710304059709,0.16,0.0110454954985118,1.38,0.0952673986746647,0.02,0.0013806869373139,0.05,0.0034517173432849,-2.39,-0.1649920890090209,0.39,0.0269233952776226,0.0,0.0,1.43,0.0987191160179497,-0.96,-0.0662729729910711,0.77,0.0531564470865883
Afghanistan,1993,0.02,0.0012644941855712,0.03,0.0018967412783568,0.16,0.0101159534845697,1.31,0.0828243691549151,0.0,0.0,0.05,0.003161235463928,-2.39,-0.1511070551757612,0.38,0.0240253895258532,0.0,0.0,1.36,0.0859856046188432,-1.03,-0.065121450556918,0.74,0.0467862848661352
Afghanistan,1994,0.02,0.0011712531377871,0.02,0.0011712531377871,0.16,0.0093700251022972,1.26,0.0737889476805908,0.0,0.0,0.05,0.0029281328444678,-2.39,-0.1399647499655651,0.36,0.0210825564801688,0.0,0.0,1.3,0.0761314539561651,-1.08,-0.0632476694405064,0.71,0.041579486391444
Afghanistan,1995,0.02,0.0011043218629998,0.02,0.0011043218629998,0.16,0.0088345749039985,1.2,0.066259311779989,0.0,0.0,0.05,0.0027608046574995,-2.39,-0.1319664626284782,0.34,0.0187734716709969,0.0,0.0,1.25,0.0690201164374886,-1.14,-0.0629463461909896,0.68,0.0375469433419938
Afghanistan,1996,0.02,0.001060814140907,0.01,0.0005304070704535,0.16,0.0084865131272567,1.14,0.0604664060317043,0.0,0.0,0.05,0.0026520353522677,-2.39,-0.1267672898383977,0.32,0.0169730262545135,0.0,0.0,1.18,0.0625880343135185,-1.21,-0.0641792555248791,0.64,0.033946052509027
Afghanistan,1997,0.02,0.0010332112318739,0.01,0.0005166056159369,0.16,0.0082656898549919,1.06,0.0547601952893213,0.0,0.0,0.05,0.0025830280796849,-2.39,-0.1234687422089415,0.3,0.0154981684781098,0.0,0.0,1.1,0.0568266177530693,-1.29,-0.0666421244558722,0.59,0.0304797313402826
Afghanistan,1998,0.02,0.0010132856953951,0.01,0.0005066428476975,0.16,0.0081062855631613,1.0,0.0506642847697586,0.0,0.0,0.05,0.0025332142384879,-2.39,-0.1210876405997232,0.28,0.0141859997355324,0.0,0.0,1.05,0.0531974990082466,-1.34,-0.0678901415914766,0.55,0.0278653566233672
Afghanistan,1999,0.02,0.0009915300036731,0.01,0.0004957650018365,0.16,0.0079322400293849,0.77,0.0381739051414152,0.0,0.0,0.05,0.0024788250091828,-2.39,-0.1184878354389381,0.25,0.012394125045914,0.0,0.0,0.82,0.040652730150598,-1.57,-0.0778351052883401,0.35,0.0173517750642796
Afghanistan,2000,0.02,0.0009624658992316,0.0,0.0,0.16,0.0076997271938531,0.75,0.0360924712211868,0.0,0.0,0.02,0.0009624658992316,-2.39,-0.115014674958182,0.23,0.0110683578411639,0.0,0.0,0.77,0.0370549371204184,-1.62,-0.0779597378377635,0.36,0.0173243861861696
Afghanistan,2001,0.02,0.0009256262972652,0.0,0.0,0.18,0.0083306366753873,0.79,0.0365622387419776,0.0,0.0,0.02,0.0009256262972652,0.12,0.0055537577835915,0.23,0.0106447024185504,0.0,0.0,0.81,0.0374878650392428,0.93,0.0430416228228343,0.38,0.0175868996480398
Afghanistan,2002,0.02,0.0008849254454736,0.0,0.0,0.15,0.0066369408410526,1.07,0.0473435113328419,0.0,0.0,0.02,0.0008849254454736,0.12,0.005309552672842,0.56,0.024777912473263,0.0,0.0,1.1,0.0486708995010524,1.22,0.0539804521738945,0.36,0.0159286580185262
Afghanistan,2003,0.03,0.0012668452946684,0.0,0.0,0.26,0.0109793258871263,1.32,0.0557411929654107,0.0,0.0,0.03,0.0012668452946684,0.12,0.0050673811786737,0.49,0.0206918064795843,0.0,0.0,1.35,0.0570080382600792,1.47,0.0620754194387529,0.57,0.0240700605987001
Afghanistan,2004,0.04,0.0016176852469006,0.04,0.0016176852469006,0.24,0.0097061114814037,1.1,0.0444863442897672,0.0,0.0,0.03,0.0012132639351754,0.12,0.0048530557407018,0.24,0.0097061114814037,0.0,0.0,1.13,0.0456996082249426,1.25,0.0505526639656445,0.57,0.0230520147683339
Afghanistan,2005,0.04,0.0015591943860894,0.07,0.0027285901756565,0.26,0.0101347635095812,1.61,0.0627575740400995,0.0,0.0,0.02,0.0007795971930447,0.12,0.0046775831582682,0.35,0.0136429508782825,0.0,0.0,1.64,0.0639269698296665,1.76,0.0686045529879348,0.94,0.0366410680731015
Afghanistan,2006,0.04,0.0015132566197978,0.1,0.0037831415494945,0.28,0.0105927963385848,1.92,0.0726363177502958,0.0,0.0,0.02,0.0007566283098989,0.12,0.0045397698593934,0.35,0.013240995423231,0.0,0.0,1.94,0.0733929460601947,2.06,0.0779327159195882,1.19,0.0450193844389854
Afghanistan,2007,0.04,0.0014759852404427,0.05,0.0018449815505534,0.28,0.0103318966830995,2.35,0.086714132876014,0.0,0.0,0.01,0.0003689963101106,0.12,0.0044279557213283,0.74,0.0273057269481916,0.0,0.0,2.36,0.0870831291861247,2.49,0.0918800812175638,1.29,0.04760052400428
