Entity,Year,Solid fuel consumption (CDIAC (2016)),Liquid fuel consumption (CDIAC (2016)),Gas fuel consumption (CDIAC (2016)),Cement production (CDIAC (2016)),Gas flaring (CDIAC (2016))
Afghanistan,1949,4.0,0.0,0.0,0,
Afghanistan,1950,6.0,18.0,0.0,0,0.0
Afghanistan,1951,7.0,18.0,0.0,0,0.0
Afghanistan,1952,9.0,17.0,0.0,0,0.0
Afghanistan,1953,10.0,18.0,0.0,0,0.0
Afghanistan,1954,12.0,18.0,0.0,0,0.0
Afghanistan,1955,17.0,25.0,0.0,0,0.0
Afghanistan,1956,17.0,33.0,0.0,0,0.0
Afghanistan,1957,21.0,59.0,0.0,0,0.0
Afghanistan,1958,25.0,65.0,0.0,0,0.0
Afghanistan,1959,30.0,70.0,0.0,5,0.0
Afghanistan,1960,35.0,74.0,0.0,5,0.0
Afghanistan,1961,48.0,80.0,0.0,6,0.0
Afghanistan,1962,81.0,99.0,0.0,8,0.0
Afghanistan,1963,72.0,107.0,0.0,14,0.0
Afghanistan,1964,82.0,130.0,0.0,17,0.0
Afghanistan,1965,104.0,148.0,0.0,23,0.0
Afghanistan,1966,117.0,157.0,0.0,24,0.0
Afghanistan,1967,109.0,152.0,71.0,18,0.0
Afghanistan,1968,91.0,136.0,95.0,13,0.0
Afghanistan,1969,99.0,144.0,0.0,14,0.0
Afghanistan,1970,119.0,183.0,59.0,13,81.0
Afghanistan,1971,98.0,204.0,120.0,12,83.0
Afghanistan,1972,52.0,171.0,82.0,13,100.0
Afghanistan,1973,85.0,192.0,91.0,19,61.0
Afghanistan,1974,83.0,210.0,109.0,20,100.0
Afghanistan,1975,109.0,239.0,130.0,20,83.0
Afghanistan,1976,116.0,241.0,82.0,23,80.0
Afghanistan,1977,123.0,266.0,140.0,19,104.0
Afghanistan,1978,157.0,255.0,82.0,17,77.0
Afghanistan,1979,96.0,318.0,105.0,19,73.0
Afghanistan,1980,86.0,252.0,51.0,7,83.0
Afghanistan,1981,91.0,277.0,83.0,10,80.0
Afghanistan,1982,105.0,271.0,108.0,12,77.0
Afghanistan,1983,105.0,333.0,168.0,2,80.0
Afghanistan,1984,107.0,309.0,254.0,15,86.0
Afghanistan,1985,109.0,422.0,325.0,10,90.0
Afghanistan,1986,116.0,311.0,328.0,12,90.0
Afghanistan,1987,121.0,550.0,107.0,14,61.0
Afghanistan,1988,100.0,497.0,120.0,14,51.0
Afghanistan,1989,92.0,509.0,131.0,14,11.0
