Entity,Year,CO2 from flaring (CDIAC (2017))
Africa,1884,0.0
Africa,1885,0.0
Africa,1886,0.0
Africa,1887,0.0
Africa,1888,0.0
Africa,1889,0.0
Africa,1890,0.0
Africa,1891,0.0
Africa,1892,0.0
Africa,1893,0.0
Africa,1894,0.0
Africa,1895,0.0
Africa,1896,0.0
Africa,1897,0.0
Africa,1898,0.0
Africa,1899,0.0
Africa,1900,0.0
Africa,1901,0.0
Africa,1902,0.0
Africa,1903,0.0
Africa,1904,0.0
Africa,1905,0.0
Africa,1906,0.0
Africa,1907,0.0
Africa,1908,0.0
Africa,1909,0.0
Africa,1910,0.0
Africa,1911,0.0
Africa,1912,0.0
Africa,1913,0.0
Africa,1914,0.0
Africa,1915,0.0
Africa,1916,0.0
Africa,1917,0.0
Africa,1918,0.0
Africa,1919,0.0
Africa,1920,0.0
Africa,1921,0.0
Africa,1922,0.0
Africa,1923,0.0
Africa,1924,0.0
Africa,1925,0.0
Africa,1926,0.0
Africa,1927,0.0
Africa,1928,0.0
Africa,1929,0.0
Africa,1930,0.0
Africa,1931,0.0
Africa,1932,0.0
Africa,1933,0.0
Africa,1934,0.0
Africa,1935,0.0
Africa,1936,0.0
Africa,1937,0.0
Africa,1938,0.0
Africa,1939,0.0
Africa,1940,0.0
Africa,1941,0.0
Africa,1942,0.0
Africa,1943,0.0
Africa,1944,0.0
Africa,1945,0.0
Africa,1946,0.0
Africa,1947,0.0
Africa,1948,0.0
Africa,1949,0.0
Africa,1950,0.0
Africa,1951,0.0
Africa,1952,0.0
Africa,1953,0.0
Africa,1954,0.0
Africa,1955,0.0
Africa,1956,0.0
Africa,1957,0.0
Africa,1958,0.0
Africa,1959,0.0
Africa,1960,0.0
Africa,1961,0.0
Africa,1962,0.0
Africa,1963,1.14871
Africa,1964,1.87904
Africa,1965,4.9545
Africa,1966,5.20039
Africa,1967,20.79422
Africa,1968,29.71966
Africa,1969,38.3882
Africa,1970,55.02798
Africa,1971,56.06659
Africa,1972,64.76082
Africa,1973,80.13445
Africa,1974,81.49969
Africa,1975,64.41584
Africa,1976,77.92511
Africa,1977,71.67143
Africa,1978,71.8219
Africa,1979,87.86347
Africa,1980,76.3727
Africa,1981,52.62413
Africa,1982,45.02356
Africa,1983,41.34622
Africa,1984,45.63645
Africa,1985,51.48643
Africa,1986,53.1049
Africa,1987,44.93548
Africa,1988,49.31379
Africa,1989,22.08239
Africa,1990,20.99974
Africa,1991,21.00341
Africa,1992,23.55773
Africa,1993,21.99431
Africa,1994,22.00165
Africa,1995,24.29907
Africa,1996,23.99446
Africa,1997,23.60177
Africa,1998,23.16504
Africa,1999,23.79261
Africa,2000,55.52343
Africa,2001,58.14014
Africa,2002,67.92069
Africa,2003,62.91481
Africa,2004,73.50643
Africa,2005,73.3633
Africa,2006,71.75584
Africa,2007,75.04783
Africa,2008,70.67319
Africa,2009,59.38427
Africa,2010,62.95885
Africa,2011,55.43902
Africa,2012,57.09419
Africa,2013,53.98937
Asia,1858,0.0
Asia,1859,0.0
Asia,1860,0.0
Asia,1861,0.0
Asia,1862,0.0
Asia,1863,0.0
Asia,1864,0.0
Asia,1865,0.0
Asia,1866,0.0
Asia,1867,0.0
Asia,1868,0.0
Asia,1869,0.0
Asia,1870,0.0
Asia,1871,0.0
Asia,1872,0.0
Asia,1873,0.0
Asia,1874,0.0
Asia,1875,0.0
Asia,1876,0.0
Asia,1877,0.0
Asia,1878,0.0
Asia,1879,0.0
Asia,1880,0.0
Asia,1881,0.0
Asia,1882,0.0
Asia,1883,0.0
Asia,1884,0.0
Asia,1885,0.0
Asia,1886,0.0
Asia,1887,0.0
Asia,1888,0.0
Asia,1889,0.0
Asia,1890,0.0
Asia,1891,0.0
Asia,1892,0.0
Asia,1893,0.0
Asia,1894,0.0
Asia,1895,0.0
Asia,1896,0.0
Asia,1897,0.0
Asia,1898,0.0
Asia,1899,0.0
Asia,1900,0.0
Asia,1901,0.0
Asia,1902,0.0
Asia,1903,0.0
Asia,1904,0.0
Asia,1905,0.0
Asia,1906,0.0
Asia,1907,0.0
Asia,1908,0.0
Asia,1909,0.0
Asia,1910,0.0
Asia,1911,0.0
Asia,1912,0.0
Asia,1913,0.0
Asia,1914,0.0
Asia,1915,0.0
Asia,1916,0.0
Asia,1917,0.0
Asia,1918,0.0
Asia,1919,0.0
Asia,1920,0.0
Asia,1921,0.0
Asia,1922,0.0
Asia,1923,0.0
Asia,1924,0.0
Asia,1925,0.0
Asia,1926,0.0
Asia,1927,0.0
Asia,1928,0.0
Asia,1929,0.0
Asia,1930,0.0
Asia,1931,0.0
Asia,1932,0.0
Asia,1933,0.0
Asia,1934,0.0
Asia,1935,0.0
Asia,1936,0.0
Asia,1937,0.0
Asia,1938,0.0
Asia,1939,0.0
Asia,1940,0.0
Asia,1941,0.0
Asia,1942,0.0
Asia,1943,0.0
Asia,1944,0.0
Asia,1945,0.0
Asia,1946,0.0
Asia,1947,0.0
Asia,1948,0.0
Asia,1949,0.0
Asia,1950,0.0
Asia,1951,0.04404
Asia,1952,0.13579
Asia,1953,0.4771
Asia,1954,0.75235
Asia,1955,0.83309
Asia,1956,1.45699
Asia,1957,1.37258
Asia,1958,1.26248
Asia,1959,14.50751
Asia,1960,15.49841
Asia,1961,19.02528
Asia,1962,20.45291
Asia,1963,21.41445
Asia,1964,20.28042
Asia,1965,22.04936
Asia,1966,30.68487
Asia,1967,35.49257
Asia,1968,35.27604
Asia,1969,25.97259
Asia,1970,23.41093
Asia,1971,22.70262
Asia,1972,22.72831
Asia,1973,22.29525
Asia,1974,16.91136
Asia,1975,16.44527
Asia,1976,18.00135
Asia,1977,21.1392
Asia,1978,22.9742
Asia,1979,22.14111
Asia,1980,23.42928
Asia,1981,19.75928
Asia,1982,22.55582
Asia,1983,19.94645
Asia,1984,19.35925
Asia,1985,19.81066
Asia,1986,19.6345
Asia,1987,20.68779
Asia,1988,13.49826
Asia,1989,15.07636
Asia,1990,20.51163
Asia,1991,18.58488
Asia,1992,16.82328
Asia,1993,14.26162
Asia,1994,23.57975
Asia,1995,20.19234
Asia,1996,18.21788
Asia,1997,20.13362
Asia,1998,22.47508
Asia,1999,31.28675
Asia,2000,28.78014
Asia,2001,20.9557
Asia,2002,21.08415
Europe,1751,0.0
