Entity,Year,CO2 from liquid (CDIAC (2017))
Africa,1884,0.0
Africa,1885,0.0
Africa,1886,0.0
Africa,1887,0.0
Africa,1888,0.0
Africa,1889,0.0
Africa,1890,0.0
Africa,1891,0.0
Africa,1892,0.0
Africa,1893,0.0
Africa,1894,0.0
Africa,1895,0.0
Africa,1896,0.0
Africa,1897,0.0
Africa,1898,0.0
Africa,1899,0.0
Africa,1900,0.0
Africa,1901,0.0
Africa,1902,0.0
Africa,1903,0.0
Africa,1904,0.0
Africa,1905,0.0
Africa,1906,0.0
Africa,1907,0.0
Africa,1908,0.0
Africa,1909,0.0
Africa,1910,0.0
Africa,1911,0.01101
Africa,1912,0.08441
Africa,1913,0.04037
Africa,1914,0.30828
Africa,1915,0.09175
Africa,1916,0.1835
Africa,1917,0.42572
Africa,1918,0.86979
Africa,1919,0.69363
Africa,1920,0.45875
Africa,1921,0.56151
Africa,1922,0.53582
Africa,1923,0.47343
Africa,1924,0.50646
Africa,1925,0.56151
Africa,1926,0.53582
Africa,1927,0.57252
Africa,1928,0.82575
Africa,1929,0.84777
Africa,1930,0.88447
Africa,1931,0.89181
Africa,1932,0.83676
Africa,1933,0.73767
Africa,1934,0.68262
Africa,1935,0.55784
Africa,1936,0.56151
Africa,1937,0.53582
Africa,1938,0.70464
Africa,1939,2.06254
Africa,1940,2.86994
Africa,1941,3.76909
Africa,1942,3.64798
Africa,1943,3.9636
Africa,1944,4.17279
Africa,1945,4.15811
Africa,1946,3.94892
Africa,1947,4.1104
Africa,1948,5.82062
Africa,1949,7.0831
Africa,1950,23.93207
Africa,1951,26.16343
Africa,1952,28.67371
Africa,1953,30.36558
Africa,1954,32.7731
Africa,1955,34.36221
Africa,1956,36.05775
Africa,1957,38.69281
Africa,1958,41.63982
Africa,1959,42.05453
Africa,1960,48.7376
Africa,1961,52.35989
Africa,1962,54.63162
Africa,1963,60.69079
Africa,1964,69.6199
Africa,1965,76.25893
Africa,1966,84.16411
Africa,1967,81.2538
Africa,1968,86.17894
Africa,1969,93.99237
Africa,1970,98.66428
Africa,1971,115.59032
Africa,1972,119.68237
Africa,1973,128.64451
Africa,1974,134.56055
Africa,1975,144.21999
Africa,1976,151.31043
Africa,1977,160.2689
Africa,1978,166.15191
Africa,1979,182.08338
Africa,1980,198.86996
Africa,1981,214.49682
Africa,1982,236.7884
Africa,1983,244.46971
Africa,1984,252.05927
Africa,1985,253.02815
Africa,1986,255.63752
Africa,1987,246.05148
Africa,1988,264.04182
Africa,1989,270.2221
Africa,1990,249.75451
Africa,1991,263.0289
Africa,1992,284.03598
Africa,1993,276.55285
Africa,1994,265.39972
Africa,1995,272.05343
Africa,1996,282.15694
Africa,1997,296.89199
Africa,1998,317.87338
Africa,1999,298.71965
Africa,2000,317.11736
Africa,2001,295.21847
Africa,2002,289.0492
Africa,2003,327.22454
Africa,2004,350.0446
Africa,2005,336.36284
Africa,2006,369.80021
Africa,2007,380.54964
Africa,2008,407.94619
Africa,2009,438.75217
Africa,2010,433.11138
Africa,2011,437.36491
Africa,2012,455.50939
Africa,2013,477.47801
Asia,1858,0.0
Asia,1859,0.0
Asia,1860,0.0
Asia,1861,0.0
Asia,1862,0.0
Asia,1863,0.0
Asia,1864,0.0
Asia,1865,0.0
Asia,1866,0.0
Asia,1867,0.0
Asia,1868,0.0734
Asia,1869,0.1101
Asia,1870,0.09909
Asia,1871,0.22754
Asia,1872,0.15047
Asia,1873,0.29727
Asia,1874,0.20552
Asia,1875,0.35599
Asia,1876,0.34498
Asia,1877,0.43673
Asia,1878,0.63491
Asia,1879,0.65693
Asia,1880,0.71932
Asia,1881,0.82208
Asia,1882,1.31386
Asia,1883,0.93218
Asia,1884,1.29918
Asia,1885,1.39093
Asia,1886,1.84968
Asia,1887,1.95978
Asia,1888,1.81665
Asia,1889,1.94877
Asia,1890,3.33236
Asia,1891,2.62405
Asia,1892,4.29757
Asia,1893,5.01689
Asia,1894,5.60409
Asia,1895,5.98944
Asia,1896,6.59866
Asia,1897,7.03906
Asia,1898,8.16208
Asia,1899,7.1932
Asia,1900,7.77673
Asia,1901,7.16751
Asia,1902,7.71067
Asia,1903,7.55653
Asia,1904,7.91986
Asia,1905,8.54376
Asia,1906,8.51073
Asia,1907,8.42999
Asia,1908,8.96948
Asia,1909,9.40988
Asia,1910,9.93102
Asia,1911,10.4595
Asia,1912,11.69262
Asia,1913,11.93851
Asia,1914,12.33854
Asia,1915,12.24312
Asia,1916,13.70378
Asia,1917,15.62686
Asia,1918,18.86013
Asia,1919,18.3133
Asia,1920,17.3591
Asia,1921,17.45085
Asia,1922,18.55185
Asia,1923,19.87672
Asia,1924,20.49328
Asia,1925,22.28057
Asia,1926,25.45145
Asia,1927,26.69558
Asia,1928,30.85736
Asia,1929,30.75093
Asia,1930,29.82242
Asia,1931,15.414
Asia,1932,23.43295
Asia,1933,13.36247
Asia,1934,5.73621
Asia,1935,2.95068
Asia,1936,9.92368
Asia,1937,14.87084
Asia,1938,31.17665
Asia,1939,28.51957
Asia,1940,32.49051
Asia,1941,37.96615
Asia,1942,41.25814
Asia,1943,49.76887
Asia,1944,63.92406
Asia,1945,70.00525
Asia,1946,70.01259
Asia,1947,78.52699
Asia,1948,88.60481
Asia,1949,93.35746
Asia,1950,103.04259
Asia,1951,108.5586
Asia,1952,118.68413
Asia,1953,130.92725
Asia,1954,147.52299
Asia,1955,174.65897
Asia,1956,191.57767
Asia,1957,230.66684
Asia,1958,272.72871
Asia,1959,338.38868
Asia,1960,380.81388
Asia,1961,418.81306
Asia,1962,464.71742
Asia,1963,482.74813
Asia,1964,520.93448
Asia,1965,591.1269
Asia,1966,641.98576
Asia,1967,711.13223
Asia,1968,738.66457
Asia,1969,739.74355
Asia,1970,722.03947
Asia,1971,730.04007
Asia,1972,762.92327
Asia,1973,762.24065
Asia,1974,791.6924
Asia,1975,831.32473
Asia,1976,865.97687
Asia,1977,947.79585
Asia,1978,1014.72564
Asia,1979,1049.48421
Asia,1980,1130.22054
Asia,1981,1235.8358
Asia,1982,1321.35047
Asia,1983,1372.96168
Asia,1984,1476.26117
Asia,1985,1606.58654
Asia,1986,1711.92655
Asia,1987,1602.61193
Asia,1988,1678.11484
Asia,1989,1810.63487
Asia,1990,1802.92053
Asia,1991,1830.51159
