Entity,Year,"CO2 mitigation curves for 2C (Andrews & GCP, 2019)"
Historical,1751,0.010992
Historical,1752,0.010992
Historical,1753,0.010992
Historical,1754,0.010992
Historical,1755,0.010992
Historical,1756,0.010992
Historical,1757,0.010992
Historical,1758,0.010992
Historical,1759,0.010992
Historical,1760,0.010992
Historical,1761,0.010992
Historical,1762,0.010992
Historical,1763,0.010992
Historical,1764,0.010992
Historical,1765,0.010992
Historical,1766,0.010992
Historical,1767,0.010992
Historical,1768,0.010992
Historical,1769,0.010992
Historical,1770,0.010992
Historical,1771,0.014656
Historical,1772,0.014656
Historical,1773,0.014656
Historical,1774,0.014656
Historical,1775,0.014656
Historical,1776,0.014656
Historical,1777,0.014656
Historical,1778,0.014656
Historical,1779,0.014656
Historical,1780,0.014656
Historical,1781,0.01832
Historical,1782,0.01832
Historical,1783,0.01832
Historical,1784,0.01832
Historical,1785,0.01832
Historical,1786,0.01832
Historical,1787,0.01832
Historical,1788,0.01832
Historical,1789,0.01832
Historical,1790,0.01832
Historical,1791,0.021984
Historical,1792,0.021984
Historical,1793,0.021984
Historical,1794,0.021984
Historical,1795,0.021984
Historical,1796,0.021984
Historical,1797,0.025648
Historical,1798,0.025648
Historical,1799,0.025648
Historical,1800,0.029312
Historical,1801,0.029312
Historical,1802,0.03664
Historical,1803,0.032976
Historical,1804,0.032976
Historical,1805,0.032976
Historical,1806,0.03664
Historical,1807,0.03664
Historical,1808,0.03664
Historical,1809,0.03664
Historical,1810,0.03664
Historical,1811,0.040304
Historical,1812,0.040304
Historical,1813,0.040304
Historical,1814,0.040304
Historical,1815,0.043968
Historical,1816,0.047632
Historical,1817,0.051296
Historical,1818,0.051296
Historical,1819,0.051296
Historical,1820,0.051296
Historical,1821,0.051296
Historical,1822,0.05496
Historical,1823,0.058624
Historical,1824,0.058624
Historical,1825,0.062288
Historical,1826,0.062288
Historical,1827,0.065952
Historical,1828,0.065952
Historical,1829,0.065952
Historical,1830,0.087936
Historical,1831,0.084272
Historical,1832,0.084272
Historical,1833,0.087936
Historical,1834,0.087936
Historical,1835,0.0916
Historical,1836,0.106256
Historical,1837,0.106256
Historical,1838,0.10992
Historical,1839,0.113584
Historical,1840,0.120912
Historical,1841,0.124576
Historical,1842,0.131904
Historical,1843,0.135568
Historical,1844,0.142896
Historical,1845,0.157552
Historical,1846,0.157552
Historical,1847,0.168544
Historical,1848,0.172208
Historical,1849,0.1832
Historical,1850,2.718006
Historical,1851,2.732542
Historical,1852,2.761601
Historical,1853,2.787943
Historical,1854,2.834687
Historical,1855,2.849509
Historical,1856,2.882696
Historical,1857,2.910674
Historical,1858,2.934488
Historical,1859,2.963179
Historical,1860,2.88512
Historical,1861,2.865329
Historical,1862,2.857422
Historical,1863,2.875022
Historical,1864,2.897211
Historical,1865,2.924828
Historical,1866,2.922833
Historical,1867,2.94546
Historical,1868,2.958653
Historical,1869,2.985209
Historical,1870,3.25793
Historical,1871,3.398642
Historical,1872,3.533893
Historical,1873,3.646942
Historical,1874,3.666625
Historical,1875,3.772955
Historical,1876,3.829393
Historical,1877,3.87778
Historical,1878,3.917454
Historical,1879,3.989466
Historical,1880,4.076085
Historical,1881,4.152849
Historical,1882,4.234906
Historical,1883,4.334574
Historical,1884,4.378583
Historical,1885,4.415734
Historical,1886,4.444208
Historical,1887,4.510162
Historical,1888,4.643592
Historical,1889,4.664792
Historical,1890,4.890654
Historical,1891,5.046902
