Entity,Year,CO2 per year by region (CDIAC (2017))
Africa,1751,0.0
Africa,1752,0.0
Africa,1753,0.0
Africa,1754,0.0
Africa,1755,0.0
Africa,1756,0.0
Africa,1757,0.0
Africa,1758,0.0
Africa,1759,0.0
Africa,1760,0.0
Africa,1761,0.0
Africa,1762,0.0
Africa,1763,0.0
Africa,1764,0.0
Africa,1765,0.0
Africa,1766,0.0
Africa,1767,0.0
Africa,1768,0.0
Africa,1769,0.0
Africa,1770,0.0
Africa,1771,0.0
Africa,1772,0.0
Africa,1773,0.0
Africa,1774,0.0
Africa,1775,0.0
Africa,1776,0.0
Africa,1777,0.0
Africa,1778,0.0
Africa,1779,0.0
Africa,1780,0.0
Africa,1781,0.0
Africa,1782,0.0
Africa,1783,0.0
Africa,1784,0.0
Africa,1785,0.0
Africa,1786,0.0
Africa,1787,0.0
Africa,1788,0.0
Africa,1789,0.0
Africa,1790,0.0
Africa,1791,0.0
Africa,1792,0.0
Africa,1793,0.0
Africa,1794,0.0
Africa,1795,0.0
Africa,1796,0.0
Africa,1797,0.0
Africa,1798,0.0
Africa,1799,0.0
Africa,1800,0.0
Africa,1801,0.0
Africa,1802,0.0
Africa,1803,0.0
Africa,1804,0.0
Africa,1805,0.0
Africa,1806,0.0
Africa,1807,0.0
Africa,1808,0.0
Africa,1809,0.0
Africa,1810,0.0
Africa,1811,0.0
Africa,1812,0.0
Africa,1813,0.0
Africa,1814,0.0
Africa,1815,0.0
Africa,1816,0.0
Africa,1817,0.0
Africa,1818,0.0
Africa,1819,0.0
Africa,1820,0.0
Africa,1821,0.0
Africa,1822,0.0
Africa,1823,0.0
Africa,1824,0.0
Africa,1825,0.0
Africa,1826,0.0
Africa,1827,0.0
Africa,1828,0.0
Africa,1829,0.0
Africa,1830,0.0
Africa,1831,0.0
Africa,1832,0.0
Africa,1833,0.0
Africa,1834,0.0
Africa,1835,0.0
Africa,1836,0.0
Africa,1837,0.0
Africa,1838,0.0
Africa,1839,0.0
Africa,1840,0.0
Africa,1841,0.0
Africa,1842,0.0
Africa,1843,0.0
Africa,1844,0.0
Africa,1845,0.0
Africa,1846,0.0
Africa,1847,0.0
Africa,1848,0.0
Africa,1849,0.0
Africa,1850,0.0
Africa,1851,0.0
Africa,1852,0.0
Africa,1853,0.0
Africa,1854,0.0
Africa,1855,0.0
Africa,1856,0.0
Africa,1857,0.0
Africa,1858,0.0
Africa,1859,0.0
Africa,1860,0.0
Africa,1861,0.0
Africa,1862,0.0
Africa,1863,0.0
Africa,1864,0.0
Africa,1865,0.0
Africa,1866,0.0
