Entity,Year,Cereal yield index (World Bank (2017) & OWID)
Afghanistan,1961,100
Afghanistan,1962,97
Afghanistan,1963,88
Afghanistan,1964,97
Afghanistan,1965,99
Afghanistan,1966,91
Afghanistan,1967,110
Afghanistan,1968,115
Afghanistan,1969,118
Afghanistan,1970,99
Afghanistan,1971,88
Afghanistan,1972,90
Afghanistan,1973,115
Afghanistan,1974,117
Afghanistan,1975,118
Afghanistan,1976,122
Afghanistan,1977,110
Afghanistan,1978,116
Afghanistan,1979,119
Afghanistan,1980,121
Afghanistan,1981,120
Afghanistan,1982,119
Afghanistan,1983,122
Afghanistan,1984,120
Afghanistan,1985,119
Afghanistan,1986,118
Afghanistan,1987,122
Afghanistan,1988,115
Afghanistan,1989,111
Afghanistan,1990,108
Afghanistan,1991,104
Afghanistan,1992,98
Afghanistan,1993,102
Afghanistan,1994,102
Afghanistan,1995,109
Afghanistan,1996,108
Afghanistan,1997,121
Afghanistan,1998,124
Afghanistan,1999,115
Afghanistan,2000,72
Afghanistan,2001,90
Afghanistan,2002,150
Afghanistan,2003,131
Afghanistan,2004,120
Afghanistan,2005,161
Afghanistan,2006,139
Afghanistan,2007,172
Afghanistan,2008,131
Afghanistan,2009,183
Afghanistan,2010,180
Afghanistan,2011,149
Afghanistan,2012,182
Afghanistan,2013,184
Afghanistan,2014,181
Albania,1961,100
Albania,1962,111
Albania,1963,116
Albania,1964,121
Albania,1965,123
Albania,1966,156
Albania,1967,173
Albania,1968,184
Albania,1969,194
Albania,1970,195
Albania,1971,207
Albania,1972,209
Albania,1973,218
Albania,1974,229
Albania,1975,240
Albania,1976,289
Albania,1977,302
Albania,1978,310
Albania,1979,312
Albania,1980,280
Albania,1981,296
Albania,1982,321
Albania,1983,360
Albania,1984,351
Albania,1985,343
Albania,1986,354
Albania,1987,351
Albania,1988,340
Albania,1989,350
Albania,1990,331
Albania,1991,245
Albania,1992,254
Albania,1993,318
Albania,1994,291
Albania,1995,336
Albania,1996,290
Albania,1997,335
Albania,1998,340
Albania,1999,331
Albania,2000,376
Albania,2001,359
Albania,2002,389
Albania,2003,377
Albania,2004,410
Albania,2005,410
Albania,2006,426
Albania,2007,441
Albania,2008,483
Albania,2009,511
Albania,2010,563
Albania,2011,562
Albania,2012,578
Albania,2013,586
Albania,2014,579
Algeria,1961,100
Algeria,1962,235
Algeria,1963,232
Algeria,1964,153
Algeria,1965,175
Algeria,1966,117
Algeria,1967,182
Algeria,1968,204
Algeria,1969,178
Algeria,1970,184
Algeria,1971,170
Algeria,1972,194
Algeria,1973,143
Algeria,1974,144
Algeria,1975,244
Algeria,1976,199
Algeria,1977,119
Algeria,1978,169
Algeria,1979,162
Algeria,1980,220
Algeria,1981,187
Algeria,1982,171
Algeria,1983,167
Algeria,1984,158
Algeria,1985,264
Algeria,1986,242
Algeria,1987,219
Algeria,1988,166
Algeria,1989,220
Algeria,1990,199
Algeria,1991,322
Algeria,1992,272
Algeria,1993,214
Algeria,1994,216
Algeria,1995,240
Algeria,1996,386
Algeria,1997,225
Algeria,1998,244
Algeria,1999,309
Algeria,2000,255
Algeria,2001,320
Algeria,2002,306
Algeria,2003,425
Algeria,2004,388
Algeria,2005,434
Algeria,2006,434
Algeria,2007,362
Algeria,2008,299
Algeria,2009,478
Algeria,2010,405
Algeria,2011,417
Algeria,2012,485
Algeria,2013,524
Algeria,2014,395
Angola,1961,100
Angola,1962,100
Angola,1963,96
Angola,1964,106
Angola,1965,113
Angola,1966,100
Angola,1967,98
Angola,1968,97
Angola,1969,109
Angola,1970,110
Angola,1971,97
Angola,1972,94
Angola,1973,92
Angola,1974,86
Angola,1975,93
Angola,1976,94
Angola,1977,73
Angola,1978,81
Angola,1979,61
Angola,1980,75
Angola,1981,54
Angola,1982,54
Angola,1983,59
Angola,1984,56
Angola,1985,54
Angola,1986,46
Angola,1987,46
Angola,1988,40
Angola,1989,34
Angola,1990,39
Angola,1991,50
Angola,1992,48
Angola,1993,32
Angola,1994,36
Angola,1995,48
Angola,1996,79
Angola,1997,69
Angola,1998,85
Angola,1999,75
Angola,2000,68
Angola,2001,71
Angola,2002,76
Angola,2003,78
Angola,2004,59
Angola,2005,70
Angola,2006,54
Angola,2007,56
Angola,2008,79
Angola,2009,69
Angola,2010,76
Angola,2011,80
Angola,2012,67
Angola,2013,98
Angola,2014,107
Arab World,1961,100
Arab World,1962,139
Arab World,1963,131
Arab World,1964,123
Arab World,1965,127
Arab World,1966,111
Arab World,1967,127
Arab World,1968,150
Arab World,1969,136
Arab World,1970,126
Arab World,1971,140
Arab World,1972,152
Arab World,1973,116
Arab World,1974,136
Arab World,1975,135
Arab World,1976,143
Arab World,1977,114
Arab World,1978,134
Arab World,1979,124
Arab World,1980,145
Arab World,1981,135
Arab World,1982,139
Arab World,1983,127
Arab World,1984,123
Arab World,1985,145
Arab World,1986,161
Arab World,1987,149
Arab World,1988,178
Arab World,1989,155
Arab World,1990,178
Arab World,1991,192
Arab World,1992,169
Arab World,1993,176
Arab World,1994,186
Arab World,1995,171
Arab World,1996,206
Arab World,1997,171
Arab World,1998,186
Arab World,1999,184
Arab World,2000,181
Arab World,2001,207
Arab World,2002,222
Arab World,2003,227
Arab World,2004,243
Arab World,2005,192
Arab World,2006,241
Arab World,2007,211
Arab World,2008,214
Arab World,2009,247
Arab World,2010,218
Arab World,2011,233
Arab World,2012,255
Arab World,2013,248
Arab World,2014,226
Argentina,1961,100
Argentina,1962,114
Argentina,1963,107
Argentina,1964,120
Argentina,1965,99
Argentina,1966,110
Argentina,1967,114
Argentina,1968,93
Argentina,1969,110
Argentina,1970,126
Argentina,1971,126
Argentina,1972,114
Argentina,1973,145
Argentina,1974,145
Argentina,1975,139
Argentina,1976,135
Argentina,1977,151
Argentina,1978,172
Argentina,1979,160
Argentina,1980,133
Argentina,1981,172
Argentina,1982,173
Argentina,1983,165
Argentina,1984,183
Argentina,1985,173
Argentina,1986,183
Argentina,1987,169
Argentina,1988,179
Argentina,1989,151
Argentina,1990,160
Argentina,1991,172
Argentina,1992,210
Argentina,1993,216
Argentina,1994,196
Argentina,1995,206
Argentina,1996,192
Argentina,1997,214
Argentina,1998,271
Argentina,1999,235
Argentina,2000,246
Argentina,2001,241
Argentina,2002,233
Argentina,2003,235
Argentina,2004,259
Argentina,2005,291
Argentina,2006,264
Argentina,2007,303
Argentina,2008,291
Argentina,2009,232
Argentina,2010,344
Argentina,2011,327
Argentina,2012,294
Argentina,2013,340
Argentina,2014,342
Australia,1961,100
Australia,1962,112
Australia,1963,119
Australia,1964,122
Australia,1965,91
Australia,1966,133
Australia,1967,77
Australia,1968,124
Australia,1969,103
Australia,1970,112
Australia,1971,117
Australia,1972,86
Australia,1973,122
Australia,1974,129
Australia,1975,130
Australia,1976,124
Australia,1977,91
Australia,1978,155
Australia,1979,139
Australia,1980,97
Australia,1981,129
Australia,1982,81
Australia,1983,152
Australia,1984,148
Australia,1985,134
Australia,1986,140
Australia,1987,132
Australia,1988,150
Australia,1989,155
Australia,1990,158
Australia,1991,148
Australia,1992,175
Australia,1993,183
Australia,1994,117
Australia,1995,173
Australia,1996,196
Australia,1997,180
Australia,1998,183
Australia,1999,195
Australia,2000,181
Australia,2001,205
Australia,2002,100
Australia,2003,193
Australia,2004,157
Australia,2005,193
Australia,2006,97
Australia,2007,114
Australia,2008,156
Australia,2009,156
Australia,2010,159
Australia,2011,193
Australia,2012,206
Australia,2013,184
Australia,2014,197
Austria,1961,100
Austria,1962,102
Austria,1963,100
Austria,1964,104
Austria,1965,92
Austria,1966,117
Austria,1967,129
Austria,1968,133
Austria,1969,141
Austria,1970,127
Austria,1971,145
Austria,1972,135
Austria,1973,153
Austria,1974,161
Austria,1975,149
Austria,1976,166
Austria,1977,162
Austria,1978,174
Austria,1979,148
Austria,1980,179
Austria,1981,165
Austria,1982,190
Austria,1983,189
Austria,1984,202
Austria,1985,209
Austria,1986,191
Austria,1987,197
Austria,1988,220
Austria,1989,210
Austria,1990,221
Austria,1991,217
Austria,1992,205
Austria,1993,202
Austria,1994,214
Austria,1995,219
Austria,1996,219
Austria,1997,240
Austria,1998,231
Austria,1999,240
Austria,2000,220
Austria,2001,239
Austria,2002,232
Austria,2003,221
Austria,2004,273
Austria,2005,252
Austria,2006,228
Austria,2007,233
Austria,2008,271
Austria,2009,245
Austria,2010,255
Austria,2011,289
Austria,2012,248
Austria,2013,242
Austria,2014,289
Bahamas,1961,100
Bahamas,1962,125
Bahamas,1963,125
Bahamas,1964,134
Bahamas,1965,136
Bahamas,1966,137
Bahamas,1967,141
Bahamas,1968,141
Bahamas,1969,147
Bahamas,1970,147
Bahamas,1971,149
Bahamas,1972,149
Bahamas,1973,150
Bahamas,1974,150
Bahamas,1975,151
Bahamas,1976,153
Bahamas,1977,155
Bahamas,1978,174
Bahamas,1979,171
Bahamas,1980,171
Bahamas,1981,171
Bahamas,1982,175
Bahamas,1983,187
Bahamas,1984,200
Bahamas,1985,202
Bahamas,1986,202
Bahamas,1987,205
Bahamas,1988,210
Bahamas,1989,210
Bahamas,1990,225
Bahamas,1991,250
Bahamas,1992,250
Bahamas,1993,240
Bahamas,1994,269
Bahamas,1995,269
Bahamas,1996,269
Bahamas,1997,261
Bahamas,1998,298
Bahamas,1999,325
Bahamas,2000,371
Bahamas,2001,450
Bahamas,2002,457
Bahamas,2003,510
Bahamas,2004,532
Bahamas,2005,540
Bahamas,2006,570
Bahamas,2007,600
Bahamas,2008,714
Bahamas,2009,900
Bahamas,2010,1130
Bahamas,2011,1096
Bahamas,2012,1101
Bahamas,2013,1113
Bahamas,2014,1228
Bangladesh,1961,100
Bangladesh,1962,90
Bangladesh,1963,104
Bangladesh,1964,101
Bangladesh,1965,99
Bangladesh,1966,93
Bangladesh,1967,100
Bangladesh,1968,103
Bangladesh,1969,103
Bangladesh,1970,99
Bangladesh,1971,94
Bangladesh,1972,92
Bangladesh,1973,106
Bangladesh,1974,102
Bangladesh,1975,109
Bangladesh,1976,105
Bangladesh,1977,114
Bangladesh,1978,115
Bangladesh,1979,111
Bangladesh,1980,119
Bangladesh,1981,115
Bangladesh,1982,119
Bangladesh,1983,131
Bangladesh,1984,127
Bangladesh,1985,128
Bangladesh,1986,128
Bangladesh,1987,131
Bangladesh,1988,133
Bangladesh,1989,149
Bangladesh,1990,148
Bangladesh,1991,154
Bangladesh,1992,156
Bangladesh,1993,157
Bangladesh,1994,147
Bangladesh,1995,154
Bangladesh,1996,160
Bangladesh,1997,160
Bangladesh,1998,170
Bangladesh,1999,185
Bangladesh,2000,201
Bangladesh,2001,197
Bangladesh,2002,202
Bangladesh,2003,207
Bangladesh,2004,205
Bangladesh,2005,219
Bangladesh,2006,224
Bangladesh,2007,239
Bangladesh,2008,244
Bangladesh,2009,248
Bangladesh,2010,255
Bangladesh,2011,259
Bangladesh,2012,262
Bangladesh,2013,268
Bangladesh,2014,275
Barbados,1961,100
Barbados,1962,133
Barbados,1963,100
Barbados,1964,95
Barbados,1965,99
Barbados,1966,110
Barbados,1967,123
Barbados,1968,126
Barbados,1969,128
Barbados,1970,129
Barbados,1971,124
