Entity,Year,Child Mortality Estimates (CME Info (2016))
Afghanistan,1960,356.5
Afghanistan,1961,350.5
Afghanistan,1962,344.8
Afghanistan,1963,339.3
Afghanistan,1964,334.1
Afghanistan,1965,328.5
Afghanistan,1966,323.0
Afghanistan,1967,317.5
Afghanistan,1968,312.1
Afghanistan,1969,306.6
Afghanistan,1970,300.9
Afghanistan,1971,295.3
Afghanistan,1972,290.0
Afghanistan,1973,283.9
Afghanistan,1974,278.2
Afghanistan,1975,272.2
Afghanistan,1976,266.2
Afghanistan,1977,260.2
Afghanistan,1978,254.1
Afghanistan,1979,247.7
Afghanistan,1980,241.3
Afghanistan,1981,234.6
Afghanistan,1982,228.1
Afghanistan,1983,221.4
Afghanistan,1984,214.7
Afghanistan,1985,208.0
Afghanistan,1986,201.3
Afghanistan,1987,194.6
Afghanistan,1988,188.0
Afghanistan,1989,181.4
Afghanistan,1990,175.1
Afghanistan,1991,168.9
Afghanistan,1992,162.9
Afghanistan,1993,157.4
Afghanistan,1994,152.4
Afghanistan,1995,147.8
Afghanistan,1996,143.5
Afghanistan,1997,139.6
Afghanistan,1998,135.8
Afghanistan,1999,132.3
Afghanistan,2000,128.8
Afghanistan,2001,125.3
Afghanistan,2002,121.7
Afghanistan,2003,117.9
Afghanistan,2004,114.1
Afghanistan,2005,110.1
Afghanistan,2006,106.1
Afghanistan,2007,102.0
Afghanistan,2008,97.9
Afghanistan,2009,93.9
Afghanistan,2010,90.0
Afghanistan,2011,86.2
Afghanistan,2012,82.6
Afghanistan,2013,79.2
Afghanistan,2014,76.0
Afghanistan,2015,73.1
Afghanistan,2016,70.4
Afghanistan,2017,67.9
Albania,1978,95.0
Albania,1979,87.2
Albania,1980,80.1
Albania,1981,73.6
Albania,1982,67.9
Albania,1983,62.7
Albania,1984,58.2
Albania,1985,54.0
Albania,1986,50.4
Albania,1987,47.2
Albania,1988,44.5
Albania,1989,42.2
Albania,1990,40.1
Albania,1991,38.4
Albania,1992,36.8
Albania,1993,35.4
Albania,1994,33.9
Albania,1995,32.4
Albania,1996,30.9
Albania,1997,29.3
Albania,1998,27.7
Albania,1999,26.1
Albania,2000,24.5
Albania,2001,22.9
Albania,2002,21.4
Albania,2003,19.9
Albania,2004,18.5
Albania,2005,17.2
Albania,2006,16.0
Albania,2007,14.8
