Entity,Year,"Child mortality (Select Gapminder, v10) (2017)"
Afghanistan,1952,413.956
Afghanistan,1953,407.034
Afghanistan,1954,400.297
Afghanistan,1955,393.745
Afghanistan,1956,387.378
Afghanistan,1957,381.194
Afghanistan,1958,375.19
Afghanistan,1959,369.361
Afghanistan,1960,363.7
Afghanistan,1961,357.5
Afghanistan,1962,351.5
Afghanistan,1963,345.5
Afghanistan,1964,339.7
Afghanistan,1965,333.9
Afghanistan,1966,328.4
Afghanistan,1967,322.7
Afghanistan,1968,317.2
Afghanistan,1969,311.5
Afghanistan,1970,306.0
Afghanistan,1971,300.4
Afghanistan,1972,294.7
Afghanistan,1973,288.9
Afghanistan,1974,282.7
Afghanistan,1975,276.7
Afghanistan,1976,270.6
Afghanistan,1977,264.3
Afghanistan,1978,257.9
Afghanistan,1979,251.5
Afghanistan,1980,244.8
Afghanistan,1981,238.2
Afghanistan,1982,231.5
Afghanistan,1983,224.6
Afghanistan,1984,217.9
Afghanistan,1985,210.9
Afghanistan,1986,204.1
Afghanistan,1987,197.2
Afghanistan,1988,190.5
Afghanistan,1989,183.8
Afghanistan,1990,177.3
Afghanistan,1991,171.1
Afghanistan,1992,165.2
Afghanistan,1993,159.6
Afghanistan,1994,154.5
Afghanistan,1995,149.6
Afghanistan,1996,145.1
Afghanistan,1997,141.0
Afghanistan,1998,137.1
Afghanistan,1999,133.4
Afghanistan,2000,129.7
Afghanistan,2001,126.0
Afghanistan,2002,122.2
Afghanistan,2003,118.3
Afghanistan,2004,114.4
Afghanistan,2005,110.3
Afghanistan,2006,106.3
Afghanistan,2007,102.2
Afghanistan,2008,98.2
Afghanistan,2009,94.1
Afghanistan,2010,90.2
Afghanistan,2011,86.4
Afghanistan,2012,82.8
Afghanistan,2013,79.3
Afghanistan,2014,76.1
Afghanistan,2015,73.2
Afghanistan,2016,70.4
Albania,1951,268.994
Albania,1952,258.42
Albania,1953,248.262
Albania,1954,238.504
Albania,1955,229.129
Albania,1956,220.122
Albania,1957,211.47
Albania,1958,203.157
Albania,1959,195.172
Albania,1960,187.5
Albania,1961,180.13
Albania,1962,173.049
Albania,1963,166.247
Albania,1964,159.712
Albania,1965,153.434
Albania,1966,147.403
Albania,1967,141.609
Albania,1968,136.043
Albania,1969,130.695
Albania,1970,125.558
Albania,1971,120.622
Albania,1972,115.881
Albania,1973,111.326
Albania,1974,106.95
Albania,1975,102.746
Albania,1976,98.707
Albania,1977,94.827
Albania,1978,90.8
Albania,1979,84.1
Albania,1980,77.8
Albania,1981,72.0
Albania,1982,66.8
Albania,1983,61.9
Albania,1984,57.4
Albania,1985,53.4
Albania,1986,49.8
Albania,1987,46.7
Albania,1988,44.1
Albania,1989,41.8
Albania,1990,40.0
Albania,1991,38.3
Albania,1992,36.9
Albania,1993,35.5
Albania,1994,34.2
Albania,1995,32.9
Albania,1996,31.5
Albania,1997,30.1
Albania,1998,28.7
Albania,1999,27.4
Albania,2000,26.0
Albania,2001,24.8
Albania,2002,23.5
Albania,2003,22.4
Albania,2004,21.4
Albania,2005,20.4
Albania,2006,19.4
Albania,2007,18.6
Albania,2008,17.9
Albania,2009,17.2
Albania,2010,16.6
Albania,2011,16.0
Albania,2012,15.4
Albania,2013,14.9
Albania,2014,14.4
Albania,2015,14.0
Albania,2016,13.5
Algeria,1945,323.838
Algeria,1946,310.991
