Entity,Year,Child deaths (United Nations Population Division (2015))
Afghanistan,1952,162409
Afghanistan,1957,160934
Afghanistan,1962,164749
Afghanistan,1967,170610
Afghanistan,1972,176176
Afghanistan,1977,171014
Afghanistan,1982,141705
Afghanistan,1987,112872
Afghanistan,1992,112662
Afghanistan,1997,123303
Afghanistan,2002,129347
Afghanistan,2007,122767
Afghanistan,2012,107378
Albania,1952,9937
Albania,1957,10150
Albania,1962,8781
Albania,1967,6743
Albania,1972,5053
Albania,1977,4090
Albania,1982,3933
Albania,1987,3692
Albania,1992,2719
Albania,1997,1840
Albania,2002,1141
Albania,2007,610
Albania,2012,600
Algeria,1952,123035
Algeria,1957,129110
Algeria,1962,131842
Algeria,1967,131924
Algeria,1972,133715
Algeria,1977,124307
Algeria,1982,87417
Algeria,1987,61186
Algeria,1992,48364
Algeria,1997,35102
Algeria,2002,28980
Algeria,2007,32610
Algeria,2012,34028
Angola,1952,93622
Angola,1957,97005
Angola,1962,97011
Angola,1967,97220
Angola,1972,101134
Angola,1977,108463
Angola,1982,124320
Angola,1987,139636
Angola,1992,158113
Angola,1997,165051
Angola,2002,156871
Angola,2007,160734
Angola,2012,165372
Antigua and Barbuda,1952,202
Antigua and Barbuda,1957,173
Antigua and Barbuda,1962,144
Antigua and Barbuda,1967,124
Antigua and Barbuda,1972,95
Antigua and Barbuda,1977,60
Antigua and Barbuda,1982,46
Antigua and Barbuda,1987,35
Antigua and Barbuda,1992,28
Antigua and Barbuda,1997,28
Antigua and Barbuda,2002,24
Antigua and Barbuda,2007,19
Antigua and Barbuda,2012,17
Argentina,1952,37945
Argentina,1957,36131
Argentina,1962,36265
Argentina,1967,36024
Argentina,1972,33467
Argentina,1977,31738
Argentina,1982,25557
Argentina,1987,22473
Argentina,1992,20409
Argentina,1997,17630
Argentina,2002,12952
Argentina,2007,12765
Argentina,2012,12167
Armenia,1952,4617
Armenia,1957,5591
Armenia,1962,5830
Armenia,1967,4496
Armenia,1972,4174
Armenia,1977,4210
Armenia,1982,4385
Armenia,1987,4549
Armenia,1992,3462
Armenia,1997,1785
Armenia,2002,1294
Armenia,2007,1066
Armenia,2012,644
Aruba,1952,167
Aruba,1957,127
Aruba,1962,98
Aruba,1967,68
Aruba,1972,47
Aruba,1977,36
Aruba,1982,32
Aruba,1987,28
Aruba,1992,30
Aruba,1997,30
Aruba,2002,27
Aruba,2007,24
Aruba,2012,19
Australia,1952,5993
Australia,1957,5838
Australia,1962,5578
Australia,1967,5393
Australia,1972,5252
Australia,1977,3621
Australia,1982,2892
Australia,1987,2675
Australia,1992,2169
Australia,1997,1784
Australia,2002,1546
Australia,2007,1562
Australia,2012,1477
Austria,1952,6713
Austria,1957,5989
Austria,1962,5052
Austria,1967,3990
Austria,1972,3005
Austria,1977,1789
Austria,1982,1341
Austria,1987,985
Austria,1992,810
Austria,1997,516
Austria,2002,438
Austria,2007,364
Austria,2012,309
Azerbaijan,1952,19480
Azerbaijan,1957,23430
Azerbaijan,1962,25801
Azerbaijan,1967,22183
Azerbaijan,1972,18879
Azerbaijan,1977,18531
Azerbaijan,1982,19797
Azerbaijan,1987,22425
Azerbaijan,1992,20200
Azerbaijan,1997,13125
Azerbaijan,2002,8572
Azerbaijan,2007,7916
Azerbaijan,2012,8775
Bahamas,1952,281
Bahamas,1957,279
Bahamas,1962,290
Bahamas,1967,252
Bahamas,1972,238
Bahamas,1977,202
Bahamas,1982,193
Bahamas,1987,160
Bahamas,1992,144
Bahamas,1997,124
Bahamas,2002,90
Bahamas,2007,80
Bahamas,2012,76
Bahrain,1952,1476
Bahrain,1957,1468
Bahrain,1962,1182
Bahrain,1967,804
Bahrain,1972,537
Bahrain,1977,412
Bahrain,1982,333
Bahrain,1987,295
Bahrain,1992,249
Bahrain,1997,201
Bahrain,2002,190
Bahrain,2007,193
Bahrain,2012,192
Bangladesh,1952,594522
Bangladesh,1957,594872
Bangladesh,1962,613144
Bangladesh,1967,650774
Bangladesh,1972,844494
Bangladesh,1977,690614
Bangladesh,1982,672618
Bangladesh,1987,592918
Bangladesh,1992,478158
Bangladesh,1997,370424
Bangladesh,2002,269432
Bangladesh,2007,187922
Bangladesh,2012,132866
Barbados,1952,822
Barbados,1957,718
Barbados,1962,567
Barbados,1967,355
Barbados,1972,238
Barbados,1977,180
Barbados,1982,143
Barbados,1987,109
Barbados,1992,81
Barbados,1997,62
Barbados,2002,54
Barbados,2007,45
Barbados,2012,38
Belarus,1952,22610
Belarus,1957,14126
Belarus,1962,8484
Belarus,1967,4817
Belarus,1972,3871
Belarus,1977,3944
Belarus,1982,3794
Belarus,1987,3200
Belarus,1992,2351
Belarus,1997,1742
Belarus,2002,1103
Belarus,2007,820
Belarus,2012,609
Belgium,1952,7749
Belgium,1957,6338
Belgium,1962,5104
Belgium,1967,3927
Belgium,1972,3014
Belgium,1977,2096
Belgium,1982,1616
Belgium,1987,1327
Belgium,1992,1156
Belgium,1997,775
Belgium,2002,643
Belgium,2007,604
Belgium,2012,545
Belize,1952,492
Belize,1957,475
Belize,1962,451
Belize,1967,424
Belize,1972,408
Belize,1977,369
Belize,1982,305
Belize,1987,280
Belize,1992,244
Belize,1997,202
Belize,2002,189
Belize,2007,148
Belize,2012,140
Benin,1952,31820
Benin,1957,32036
Benin,1962,33099
Benin,1967,34238
Benin,1972,34882
Benin,1977,35917
Benin,1982,37462
Benin,1987,39220
Benin,1992,40500
Benin,1997,40923
Benin,2002,40703
Benin,2007,39579
Benin,2012,39955
Bhutan,1952,3646
Bhutan,1957,3746
Bhutan,1962,3860
Bhutan,1967,3977
Bhutan,1972,3911
Bhutan,1977,3748
Bhutan,1982,3430
Bhutan,1987,3103
Bhutan,1992,2300
Bhutan,1997,1679
Bhutan,2002,1094
Bhutan,2007,786
Bhutan,2012,551
Bolivia,1952,42954
Bolivia,1957,44114
Bolivia,1962,43899
Bolivia,1967,43273
Bolivia,1972,42105
Bolivia,1977,41385
Bolivia,1982,39935
Bolivia,1987,36899
Bolivia,1992,33605
Bolivia,1997,30123
Bolivia,2002,25981
Bolivia,2007,21789
Bolivia,2012,18317
Bosnia and Herzegovina,1952,20757
Bosnia and Herzegovina,1957,14481
Bosnia and Herzegovina,1962,10813
Bosnia and Herzegovina,1967,7397
Bosnia and Herzegovina,1972,4780
Bosnia and Herzegovina,1977,2957
Bosnia and Herzegovina,1982,2362
Bosnia and Herzegovina,1987,1535
Bosnia and Herzegovina,1992,1177
Bosnia and Herzegovina,1997,593
Bosnia and Herzegovina,2002,415
Bosnia and Herzegovina,2007,383
Bosnia and Herzegovina,2012,320
Botswana,1952,3952
Botswana,1957,4191
Botswana,1962,4245
Botswana,1967,4388
Botswana,1972,4343
Botswana,1977,4165
Botswana,1982,3960
Botswana,1987,3720
Botswana,1992,3523
Botswana,1997,4093
Botswana,2002,3754
Botswana,2007,2416
Botswana,2012,2216
Brazil,1952,475774
Brazil,1957,495132
Brazil,1962,504488
Brazil,1967,463572
Brazil,1972,418514
Brazil,1977,388206
Brazil,1982,336586
Brazil,1987,247702
Brazil,1992,177810
Brazil,1997,149979
Brazil,2002,124342
Brazil,2007,93068
Brazil,2012,75512
Brunei,1952,279
Brunei,1957,287
Brunei,1962,249
Brunei,1967,212
Brunei,1972,210
Brunei,1977,205
Brunei,1982,165
Brunei,1987,150
Brunei,1992,129
Brunei,1997,99
Brunei,2002,67
Brunei,2007,53
Brunei,2012,34
Bulgaria,1952,18957
Bulgaria,1957,12024
Bulgaria,1962,6183
Bulgaria,1967,4854
Bulgaria,1972,4243
Bulgaria,1977,3714
Bulgaria,1982,2828
Bulgaria,1987,2130
Bulgaria,1992,1784
Bulgaria,1997,1351
Bulgaria,2002,1049
Bulgaria,2007,875
Bulgaria,2012,759
Burkina Faso,1952,77155
Burkina Faso,1957,76090
Burkina Faso,1962,75600
Burkina Faso,1967,75210
Burkina Faso,1972,76633
Burkina Faso,1977,78014
Burkina Faso,1982,77431
Burkina Faso,1987,80246
Burkina Faso,1992,86937
Burkina Faso,1997,92560
Burkina Faso,2002,94903
Burkina Faso,2007,78710
Burkina Faso,2012,73594
Burundi,1952,32194
Burundi,1957,33736
Burundi,1962,34881
Burundi,1967,36373
Burundi,1972,37944
Burundi,1977,39044
Burundi,1982,43145
Burundi,1987,48802
Burundi,1992,57603
Burundi,1997,47874
Burundi,2002,47313
Burundi,2007,51860
Burundi,2012,55408
Cambodia,1952,48410
Cambodia,1957,52115
Cambodia,1962,56778
Cambodia,1967,59613
Cambodia,1972,66269
Cambodia,1977,150682
Cambodia,1982,70985
Cambodia,1987,47120
Cambodia,1992,46861
Cambodia,1997,44332
Cambodia,2002,29731
Cambodia,2007,20144
Cambodia,2012,13858
Cameroon,1952,55871
