Entity,Year,Children (1-14) who experienced any violent discipline,Children (13-15) who reported being bullied,Children (13-15) who reported being in a physical fight during past year,Girls (15-19) who experienced any physical violence since age 15,Girls (15-19) who ever experienced forced sexual intercourse or any other forced sexual acts,"Number of homicide victims among children (0-19) per 100,000 population",Women (15 and above) who experienced any intimate partner physical and/or sexual violence last year
Afghanistan,2015,74.4,48.1,35.4,24.0,7.0,8.0,30.9
Albania,2015,76.9,43.3,47.9,22.5,7.9,2.0,22.7
Algeria,2015,86.3,52.0,48.0,20.6,6.7,2.0,9.2
Antigua and Barbuda,2015,67.1,25.0,48.0,14.5,6.3,2.9,17.9
Argentina,2015,72.4,25.0,34.0,16.8,4.2,3.0,1.9
Armenia,2015,69.9,10.0,51.0,19.0,5.1,1.0,12.9
Australia,2015,62.8,39.6,48.8,12.3,3.3,1.0,2.0
Austria,2015,55.7,41.0,37.0,4.1,1.0,,3.0
Azerbaijan,2015,76.8,36.0,37.7,9.0,0.4,3.0,10.2
Bahamas,2015,60.7,44.3,39.2,8.9,3.5,5.0,16.3
Bangladesh,2015,82.3,64.5,53.6,28.6,12.7,1.0,50.7
Barbados,2015,75.1,13.0,38.0,18.4,8.1,3.0,11.0
Belarus,2015,64.5,25.8,38.8,13.8,7.7,1.0,13.9
Belgium,2015,59.1,37.0,37.0,10.8,3.2,1.0,6.0
Belize,2015,65.1,31.0,36.0,17.6,9.5,6.0,12.9
Benin,2015,91.1,42.0,32.0,31.1,9.8,5.0,25.0
Bhutan,2015,82.4,29.6,25.5,17.7,5.2,1.0,14.2
Bolivia,2015,70.0,30.0,33.0,37.0,5.0,7.0,24.0
Botswana,2015,86.5,52.0,48.0,27.4,12.1,7.0,18.1
Brazil,2015,68.3,31.6,28.0,14.0,5.5,17.0,8.1
Brunei,2015,54.0,31.1,37.1,6.2,4.6,,9.7
Bulgaria,2015,54.8,23.7,30.3,6.2,3.4,1.0,6.0
Burkina Faso,2015,82.7,40.6,47.5,21.0,9.3,5.0,9.6
Burundi,2015,96.8,70.3,48.3,35.2,12.4,5.0,31.4
Cambodia,2015,71.8,22.0,14.0,21.0,0.3,4.0,8.0
Cameroon,2015,85.0,53.3,36.4,45.0,22.0,5.0,32.6
Canada,2015,60.0,32.0,34.0,4.5,1.6,2.0,1.3
Cape Verde,2015,74.2,22.4,24.1,16.0,5.4,1.0,7.8
Central African Republic,2015,92.0,50.8,46.6,42.5,16.4,5.0,26.3
Chad,2015,71.1,56.6,39.8,39.6,16.9,4.0,30.9
Chile,2015,69.0,15.0,29.0,12.1,3.9,2.0,5.9
China,2015,70.2,29.0,19.0,12.8,4.9,1.0,13.9
Colombia,2015,66.9,32.0,33.0,13.0,3.0,13.0,8.6
Comoros,2015,77.1,29.2,29.4,11.0,5.0,5.0,4.8
Congo,2015,82.5,48.5,45.7,32.3,11.8,5.0,22.1
Costa Rica,2015,45.6,19.0,22.0,1.2,5.4,5.0,9.3
Cote d'Ivoire,2015,90.9,53.3,48.0,33.0,5.0,9.0,22.9
Croatia,2015,65.1,16.0,39.0,10.1,2.6,,3.0
Cuba,2015,36.0,27.8,34.5,2.3,3.0,2.0,13.8
Cyprus,2015,59.7,33.0,46.8,2.8,3.7,,3.0
Czech Republic,2015,46.2,16.0,43.0,2.5,0.8,,4.0
Democratic Republic of Congo,2015,81.6,54.8,45.9,56.0,21.0,14.0,20.7
Denmark,2015,58.9,17.0,27.0,4.6,1.6,,4.0
Dominican Republic,2015,62.9,26.6,30.4,13.0,8.0,4.0,10.4
Ecuador,2015,66.6,29.0,34.0,5.7,6.0,6.0,10.1
Egypt,2015,93.0,70.0,45.0,40.0,14.1,1.0,14.0
El Salvador,2015,52.0,30.8,29.2,4.8,7.0,27.0,7.7
Estonia,2015,66.4,37.0,28.0,18.0,4.4,1.0,2.0
Ethiopia,2015,87.5,50.2,50.6,33.7,12.9,6.0,26.3
Fiji,2015,72.0,42.0,47.0,15.7,9.6,2.0,24.0
Finland,2015,70.7,28.0,28.0,11.3,1.7,1.0,5.0
France,2015,59.4,32.0,33.0,2.4,0.2,,5.0
Gambia,2015,90.3,44.6,44.2,34.3,12.2,6.0,20.7
Georgia,2015,66.9,38.9,48.1,6.1,6.3,1.0,12.0
Germany,2015,57.9,30.0,20.0,8.1,,,3.0
Ghana,2015,93.6,62.0,53.0,32.0,17.0,5.0,20.0
Greece,2015,73.1,29.0,51.0,15.7,2.2,,6.0
Guatemala,2015,64.8,36.2,36.3,6.4,3.0,22.0,9.9
Guinea,2015,83.6,45.6,42.8,31.0,10.6,5.0,26.5
Guinea-Bissau,2015,82.4,46.5,38.3,34.9,11.9,6.0,28.1
Guyana,2015,69.7,38.0,38.0,19.2,7.7,6.0,21.2
Honduras,2015,76.5,32.0,28.0,15.0,6.0,13.0,10.9
Hungary,2015,70.2,24.0,41.0,11.5,2.0,1.0,6.0
Iceland,2015,61.6,16.0,28.0,5.1,0.6,,1.8
India,2015,84.1,40.3,33.8,21.0,5.0,2.0,23.9
Indonesia,2015,73.7,50.0,34.0,22.0,4.7,1.0,17.4
Iran,2015,66.5,27.5,34.9,7.1,6.0,2.0,7.3
Iraq,2015,79.0,28.0,37.0,23.8,9.0,4.0,11.9
Ireland,2015,70.2,26.0,35.0,8.7,3.6,,3.0
Israel,2015,61.0,37.7,45.1,4.7,2.5,1.0,3.1
Italy,2015,58.1,9.0,35.0,4.9,3.0,,6.0
Jamaica,2015,84.5,40.0,50.0,23.1,11.0,13.0,17.0
Japan,2015,60.1,36.8,38.3,5.6,5.5,,5.5
Jordan,2015,90.2,41.0,47.0,31.0,8.1,3.0,14.1
Kazakhstan,2015,52.7,41.0,35.3,4.0,1.0,1.0,14.8
Kenya,2015,83.8,57.0,48.0,27.0,11.0,3.0,34.0
Kiribati,2015,81.0,37.0,35.0,30.0,15.1,3.1,36.1
Korea,2015,67.3,36.0,44.9,11.4,3.1,1.0,4.8
Kuwait,2015,76.8,28.0,45.0,26.1,2.9,,6.0
Kyrgyzstan,2015,57.1,33.3,31.9,6.0,0.1,,17.1
Laos,2015,75.7,27.5,28.7,13.9,4.8,3.0,6.0
Latvia,2015,54.1,43.0,39.0,5.5,2.7,1.0,5.0
Lebanon,2015,81.9,25.0,49.0,17.5,2.9,1.0,4.0
Lesotho,2015,82.5,51.1,39.7,34.2,15.8,18.0,27.3
Liberia,2015,90.0,50.2,47.0,39.0,13.0,4.0,36.3
Libya,2015,75.2,35.0,40.0,20.3,5.0,1.0,11.3
Lithuania,2015,64.9,52.0,38.0,8.7,2.1,1.0,4.0
Luxembourg,2015,56.0,28.0,32.0,4.9,1.8,,3.0
Macedonia,2015,69.3,20.0,31.0,16.7,4.7,,6.3
Madagascar,2015,66.9,38.2,20.6,15.2,6.5,8.0,15.3
Malawi,2015,72.4,45.0,23.0,21.0,18.0,1.0,22.1
Malaysia,2015,69.3,21.0,30.0,19.8,9.3,1.0,14.3
Maldives,2015,71.7,37.0,30.0,9.2,2.3,1.0,6.4
Mali,2015,72.7,46.0,39.7,26.2,12.4,5.0,26.6
Malta,2015,64.3,27.2,43.4,4.4,4.3,,4.0
Mauritania,2015,80.0,47.0,58.0,24.0,8.8,3.0,18.1
Mauritius,2015,70.1,36.0,36.0,11.8,2.8,1.0,10.0
Mexico,2015,63.1,29.1,39.5,6.6,0.8,7.0,6.6
Moldova,2015,75.6,38.3,45.9,14.0,7.0,1.0,11.5
Mongolia,2015,49.3,31.0,44.0,8.5,7.3,2.0,16.5
Montenegro,2015,69.3,25.9,38.5,11.6,2.5,1.0,6.9
Morocco,2015,90.8,1.0,9.0,26.4,7.0,1.0,13.8
Mozambique,2015,97.5,47.5,39.4,22.0,9.0,7.0,27.7
Myanmar,2015,72.3,19.0,15.0,22.5,10.7,7.0,21.3
Namibia,2015,86.1,52.0,50.0,32.0,10.7,6.0,15.9
Nepal,2015,81.7,42.7,33.3,10.0,11.0,1.0,14.3
Netherlands,2015,61.7,21.0,31.0,9.4,4.4,,5.0
New Zealand,2015,62.2,23.3,34.8,5.9,1.2,1.0,4.9
Nicaragua,2015,74.1,25.7,28.6,12.0,7.0,4.0,9.3
Niger,2015,81.6,52.6,44.1,31.3,10.5,3.0,34.8
Nigeria,2015,90.8,49.8,48.1,27.0,6.0,14.0,10.9
Norway,2015,52.8,23.0,40.3,5.5,0.5,,6.0
Oman,2015,63.0,47.0,50.0,12.3,3.3,,15.2
Pakistan,2015,80.7,41.0,37.0,30.0,10.9,4.0,26.3
Palestine,2015,91.5,56.0,44.0,23.7,6.6,4.5,10.1
Panama,2015,44.9,22.0,31.8,1.6,5.6,15.0,11.7
Papua New Guinea,2015,75.7,56.9,42.5,27.6,12.2,3.0,33.7
Paraguay,2015,64.7,39.8,40.9,15.3,2.0,7.0,15.1
Peru,2015,63.4,47.0,37.0,14.0,5.4,2.0,12.1
Philippines,2015,76.8,48.0,38.0,15.0,5.0,3.0,7.0
Poland,2015,66.8,24.0,32.0,5.9,3.7,1.0,2.0
Portugal,2015,73.5,37.0,27.0,7.9,0.6,,5.0
Qatar,2015,49.9,42.0,51.0,2.4,3.8,,7.9
Romania,2015,67.6,41.0,41.0,9.8,3.3,1.0,6.0
Russia,2015,52.7,33.0,37.0,8.4,4.9,2.0,12.4
Rwanda,2015,88.7,57.8,34.8,16.0,12.0,13.0,44.3
Saint Lucia,2015,67.5,25.0,41.0,8.5,4.4,0.4,10.7
Samoa,2015,70.7,74.0,68.0,19.5,5.1,4.1,22.0
Saudi Arabia,2015,68.5,36.2,34.6,10.1,4.5,1.0,5.0
Senegal,2015,85.8,38.4,41.1,29.7,11.8,1.0,25.0
Serbia,2015,43.1,34.7,39.8,15.9,5.3,1.0,13.2
Seychelles,2015,64.7,51.0,43.8,9.7,10.1,11.2,18.8
Sierra Leone,2015,81.7,45.3,34.1,32.6,13.5,9.0,28.6
Slovakia,2015,63.6,25.0,40.0,3.6,3.6,,6.0
Slovenia,2015,68.4,20.0,40.0,14.5,3.7,,2.0
Solomon Islands,2015,72.0,67.0,53.0,21.2,11.4,3.0,25.4
South Africa,2015,75.9,37.4,33.5,26.3,7.9,8.0,9.4
Spain,2015,65.8,14.0,35.0,7.8,6.5,,2.0
Sri Lanka,2015,73.4,38.0,47.0,27.7,9.1,1.0,16.9
Sudan,2015,63.9,40.7,51.0,17.9,13.6,6.0,28.1
Suriname,2015,86.1,26.0,21.0,23.6,5.8,,7.7
Swaziland,2015,88.3,32.0,19.0,43.0,18.0,16.0,26.5
Sweden,2015,61.6,11.0,30.0,9.3,1.5,,5.0
Switzerland,2015,54.4,34.0,34.3,5.3,5.9,,7.2
Syria,2015,88.5,40.9,51.4,27.6,6.6,1.0,16.6
Tajikistan,2015,77.7,7.0,22.0,7.0,1.0,1.0,15.2
Tanzania,2015,76.9,28.0,40.0,24.0,13.0,6.0,36.8
Thailand,2015,72.0,27.0,34.0,11.7,2.0,2.0,15.9
Timor,2015,87.4,54.0,37.7,30.0,2.0,2.0,31.5
Togo,2015,80.6,47.5,29.0,30.2,11.0,7.0,19.0
Tonga,2015,69.3,50.0,49.0,17.2,7.6,1.5,13.9
Trinidad and Tobago,2015,77.4,15.0,36.0,21.5,12.4,12.0,26.3
Tunisia,2015,93.2,31.0,47.0,27.4,1.4,1.0,6.6
Turkey,2015,72.6,33.1,35.4,14.8,5.7,2.0,11.0
Turkmenistan,2015,37.0,46.6,32.8,6.2,5.7,4.0,20.4
Uganda,2015,80.4,46.0,36.0,54.0,19.0,10.0,34.6
Ukraine,2015,61.2,41.0,39.0,6.0,0.3,1.0,10.6
United Arab Emirates,2015,60.6,23.0,47.0,10.1,4.0,2.0,12.7
United Kingdom,2015,59.5,25.0,33.0,9.4,4.3,,5.0
United States,2015,53.6,26.0,35.0,4.3,1.4,4.0,9.5
Uruguay,2015,54.6,19.0,26.0,2.7,1.2,2.0,7.1
Uzbekistan,2015,64.2,44.1,44.9,20.1,8.3,1.0,19.5
Vanuatu,2015,83.5,67.0,51.0,35.8,14.0,3.4,44.0
Venezuela,2015,74.9,35.0,30.0,11.6,1.8,20.0,5.6
Vietnam,2015,68.4,26.0,22.0,12.4,2.4,1.0,9.0
Yemen,2015,79.2,41.0,46.0,42.1,16.1,2.0,23.6
Zambia,2015,80.4,65.0,53.0,33.0,16.0,6.0,43.0
Zimbabwe,2015,62.6,61.0,41.0,23.0,18.0,5.0,27.2
