Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0))
Afghanistan,1920,,,,55.0
Afghanistan,1921,,,,55.0
Afghanistan,1922,,,,55.0
Afghanistan,1923,,,,65.0
Afghanistan,1924,,,,65.0
Afghanistan,1925,,,,76.0
Afghanistan,1926,,,,76.0
Afghanistan,1927,,,,76.0
Afghanistan,1928,,,,60.0
Afghanistan,1929,,,,60.0
Afghanistan,1930,,,,60.0
Afghanistan,1931,,,4536.0,60.0
Afghanistan,1932,,,3731.0,60.0
Afghanistan,1933,,,,72.0
Afghanistan,1934,,,,45.0
Afghanistan,1935,,,7172.0,72.0
Afghanistan,1936,,,7363.0,103.0
Afghanistan,1937,,,,103.0
Afghanistan,1938,,,6783.0,103.0
Afghanistan,1939,,,,103.0
Afghanistan,1940,,,,60.0
Afghanistan,1941,,,,90.0
Afghanistan,1942,,,,90.0
Afghanistan,1943,,,,90.0
Afghanistan,1944,,,,90.0
Afghanistan,1945,,,,90.0
Afghanistan,1946,,,,90.0
Afghanistan,1947,,,,100.0
Afghanistan,1948,,,,90.0
Afghanistan,1949,,,,75.0
Afghanistan,1950,,,4654.0,75.0
Afghanistan,1951,,,5657.0,60.0
Afghanistan,1952,,,6730.0,60.0
Afghanistan,1953,,,9596.0,41.0
Afghanistan,1954,,,5012.0,41.0
Afghanistan,1955,,,6504.0,43.0
Afghanistan,1956,,,4814.0,43.0
Afghanistan,1957,,,7227.0,43.0
Afghanistan,1958,,,6252.0,43.0
Afghanistan,1959,,,11073.0,50.0
Afghanistan,1960,,,14240.0,60.0
Afghanistan,1961,,,14184.0,110.0
Afghanistan,1962,,,13125.0,104.0
Afghanistan,1963,,,14795.0,110.0
Afghanistan,1964,,,14544.0,112.0
Afghanistan,1965,,,13865.0,97.0
Afghanistan,1966,,,16819.0,97.0
Afghanistan,1967,,,17932.0,95.0
Afghanistan,1968,,,20067.0,89.0
Afghanistan,1969,,,20915.0,89.0
Afghanistan,1970,,,19469.0,91.0
Afghanistan,1971,,,29844.0,91.0
Afghanistan,1972,,,32289.0,91.0
Afghanistan,1973,,,32400.0,91.0
Afghanistan,1974,,,34733.0,80.0
Afghanistan,1975,,,40555.0,130.0
Afghanistan,1976,,,42422.0,142.0
Afghanistan,1977,,,52289.0,143.0
Afghanistan,1978,,,59400.0,110.0
Afghanistan,1979,,,58000.0,89.0
Afghanistan,1980,,,238087.0,43.0
Afghanistan,1981,,,326007.0,45.0
Afghanistan,1982,,,326872.0,55.0
Afghanistan,1983,,,296987.0,46.0
Afghanistan,1984,,,210032.0,46.0
Afghanistan,1985,,,286560.0,47.0
Afghanistan,1986,,,,47.0
Afghanistan,1987,,,,50.0
Afghanistan,1988,,,,55.0
Afghanistan,1989,,,,55.0
Afghanistan,1990,,,430000.0,58.0
Afghanistan,1991,,,,45.0
Afghanistan,1992,,,,45.0
Afghanistan,1993,,,,45.0
Afghanistan,1994,,,,45.0
Afghanistan,1995,,,200000.0,
Afghanistan,1996,,,208000.0,
Afghanistan,1997,,,209000.0,
Afghanistan,1998,,,255000.0,
Afghanistan,1999,,,250000.0,400.0
Afghanistan,2000,,,250000.0,400.0
Afghanistan,2001,,,245000.0,
Afghanistan,2002,,,,50.0
Afghanistan,2003,,,,60.0
Afghanistan,2004,,,121000.0,43.0
Afghanistan,2005,,,116000.0,27.0
Afghanistan,2006,,,120000.0,27.0
Afghanistan,2007,,,153000.0,50.0
Albania,1914,,,1663.0,2.0
Albania,1915,,,1612.0,2.0
Albania,1916,,,1598.0,2.0
Albania,1917,,,1567.0,2.0
Albania,1918,,,1545.0,3.0
Albania,1919,,,1523.0,3.0
Albania,1920,,,1493.0,4.0
Albania,1921,,,1442.0,3.0
Albania,1922,,,1411.0,5.0
Albania,1923,,,1213.0,8.0
Albania,1924,,,1104.0,8.0
Albania,1925,,,1036.0,8.0
Albania,1926,,,975.0,8.0
Albania,1927,,,1158.0,8.0
Albania,1928,,,2351.0,10.0
Albania,1929,,,2856.0,11.0
Albania,1930,,,2822.0,11.0
Albania,1931,,,2992.0,11.0
Albania,1932,,,2832.0,13.0
Albania,1933,,,2470.0,13.0
Albania,1934,,,2342.0,13.0
Albania,1935,,,2198.0,9.0
Albania,1936,,,2486.0,9.0
Albania,1937,,,2812.0,9.0
Albania,1938,,,3143.0,9.0
Albania,1939,,,6984.0,9.0
Albania,1944,,,9156.0,60.0
Albania,1945,,,10254.0,60.0
Albania,1946,,,11946.0,60.0
Albania,1947,,,12458.0,60.0
Albania,1948,,,13874.0,60.0
Albania,1949,,,15760.0,65.0
Albania,1950,,,18865.0,60.0
Albania,1951,,,20011.0,55.0
Albania,1952,,,20459.0,61.0
Albania,1953,,,22779.0,53.0
Albania,1954,,,28305.0,41.0
Albania,1955,,,31544.0,39.0
Albania,1956,,,34268.0,37.0
Albania,1957,,,37541.0,33.0
Albania,1958,,,40027.0,31.0
Albania,1959,,,42029.0,27.0
Albania,1960,,,52458.0,27.0
Albania,1961,,,59236.0,50.0
Albania,1962,,,61663.0,50.0
Albania,1963,,,72019.0,52.0
Albania,1964,,,82560.0,52.0
Albania,1965,,,83042.0,52.0
Albania,1966,,,91761.0,52.0
Albania,1967,,,91769.0,52.0
Albania,1968,,,96803.0,52.0
Albania,1969,,,94832.0,52.0
Albania,1970,,,98041.0,52.0
Albania,1971,,,115619.0,52.0
Albania,1972,,,117214.0,52.0
Albania,1973,,,124830.0,52.0
Albania,1974,,,125194.0,53.0
Albania,1975,,,131878.0,52.0
Albania,1976,,,135621.0,52.0
Albania,1977,,,137905.0,45.0
Albania,1978,,,154359.0,45.0
Albania,1979,,,167715.0,45.0
Albania,1980,230.0,,171453.0,46.0
Albania,1981,227.0,,188300.0,41.0
Albania,1982,225.0,,156763.0,42.0
Albania,1983,222.0,,130560.0,42.0
Albania,1984,220.0,,130000.0,41.0
Albania,1985,217.0,,188890.0,40.0
Albania,1986,215.0,,168800.0,42.0
Albania,1987,212.0,,196360.0,42.0
Albania,1988,210.0,,157000.0,42.0
Albania,1989,205.0,,167300.0,40.0
Albania,1990,143.0,,171200.0,48.0
Albania,1991,28.0,,103190.0,40.0
Albania,1992,20.0,,34700.0,65.0
Albania,1993,19.0,,105000.0,65.0
Albania,1994,19.0,,97500.0,65.0
Albania,1995,22.0,,89000.0,52.0
Albania,1996,23.0,,103000.0,52.0
Albania,1997,22.0,,94000.0,52.0
Albania,1998,22.0,,102000.0,20.0
Albania,1999,16.0,,140000.0,18.0
Albania,2000,5.0,,113000.0,54.0
Albania,2001,80.0,,106000.0,27.0
Albania,2002,140.0,,59000.0,27.0
Albania,2003,140.0,,76000.0,22.0
Albania,2004,143.0,,105000.0,21.0
Albania,2005,145.0,,116000.0,21.0
Albania,2006,206.0,,141000.0,22.0
Albania,2007,263.0,,198000.0,11.0
Algeria,1962,6.0,,65000.0,45.0
Algeria,1963,10.0,,79400.0,70.0
