Entity,Year,"Cumulative CO2 emissions share (OWID based on GCP, 2017)"
Afghanistan,1751,0.0
Afghanistan,1752,0.0
Afghanistan,1753,0.0
Afghanistan,1754,0.0
Afghanistan,1755,0.0
Afghanistan,1756,0.0
Afghanistan,1757,0.0
Afghanistan,1758,0.0
Afghanistan,1759,0.0
Afghanistan,1760,0.0
Afghanistan,1761,0.0
Afghanistan,1762,0.0
Afghanistan,1763,0.0
Afghanistan,1764,0.0
Afghanistan,1765,0.0
Afghanistan,1766,0.0
Afghanistan,1767,0.0
Afghanistan,1768,0.0
Afghanistan,1769,0.0
Afghanistan,1770,0.0
Afghanistan,1771,0.0
Afghanistan,1772,0.0
Afghanistan,1773,0.0
Afghanistan,1774,0.0
Afghanistan,1775,0.0
Afghanistan,1776,0.0
Afghanistan,1777,0.0
Afghanistan,1778,0.0
Afghanistan,1779,0.0
Afghanistan,1780,0.0
Afghanistan,1781,0.0
Afghanistan,1782,0.0
Afghanistan,1783,0.0
Afghanistan,1784,0.0
Afghanistan,1785,0.0
Afghanistan,1786,0.0
Afghanistan,1787,0.0
Afghanistan,1788,0.0
Afghanistan,1789,0.0
Afghanistan,1790,0.0
Afghanistan,1791,0.0
Afghanistan,1792,0.0
Afghanistan,1793,0.0
Afghanistan,1794,0.0
Afghanistan,1795,0.0
Afghanistan,1796,0.0
Afghanistan,1797,0.0
Afghanistan,1798,0.0
Afghanistan,1799,0.0
Afghanistan,1800,0.0
Afghanistan,1801,0.0
Afghanistan,1802,0.0
Afghanistan,1803,0.0
Afghanistan,1804,0.0
Afghanistan,1805,0.0
Afghanistan,1806,0.0
Afghanistan,1807,0.0
Afghanistan,1808,0.0
Afghanistan,1809,0.0
Afghanistan,1810,0.0
Afghanistan,1811,0.0
Afghanistan,1812,0.0
Afghanistan,1813,0.0
Afghanistan,1814,0.0
Afghanistan,1815,0.0
Afghanistan,1816,0.0
Afghanistan,1817,0.0
Afghanistan,1818,0.0
Afghanistan,1819,0.0
Afghanistan,1820,0.0
Afghanistan,1821,0.0
Afghanistan,1822,0.0
Afghanistan,1823,0.0
Afghanistan,1824,0.0
Afghanistan,1825,0.0
Afghanistan,1826,0.0
Afghanistan,1827,0.0
Afghanistan,1828,0.0
Afghanistan,1829,0.0
Afghanistan,1830,0.0
Afghanistan,1831,0.0
Afghanistan,1832,0.0
Afghanistan,1833,0.0
Afghanistan,1834,0.0
Afghanistan,1835,0.0
Afghanistan,1836,0.0
Afghanistan,1837,0.0
Afghanistan,1838,0.0
Afghanistan,1839,0.0
Afghanistan,1840,0.0
Afghanistan,1841,0.0
Afghanistan,1842,0.0
Afghanistan,1843,0.0
Afghanistan,1844,0.0
Afghanistan,1845,0.0
Afghanistan,1846,0.0
Afghanistan,1847,0.0
Afghanistan,1848,0.0
Afghanistan,1849,0.0
Afghanistan,1850,0.0
Afghanistan,1851,0.0
Afghanistan,1852,0.0
Afghanistan,1853,0.0
Afghanistan,1854,0.0
Afghanistan,1855,0.0
Afghanistan,1856,0.0
Afghanistan,1857,0.0
Afghanistan,1858,0.0
Afghanistan,1859,0.0
Afghanistan,1860,0.0
Afghanistan,1861,0.0
Afghanistan,1862,0.0
Afghanistan,1863,0.0
Afghanistan,1864,0.0
Afghanistan,1865,0.0
Afghanistan,1866,0.0
Afghanistan,1867,0.0
Afghanistan,1868,0.0
Afghanistan,1869,0.0
Afghanistan,1870,0.0
Afghanistan,1871,0.0
Afghanistan,1872,0.0
Afghanistan,1873,0.0
Afghanistan,1874,0.0
Afghanistan,1875,0.0
Afghanistan,1876,0.0
Afghanistan,1877,0.0
Afghanistan,1878,0.0
Afghanistan,1879,0.0
Afghanistan,1880,0.0
Afghanistan,1881,0.0
Afghanistan,1882,0.0
Afghanistan,1883,0.0
Afghanistan,1884,0.0
Afghanistan,1885,0.0
Afghanistan,1886,0.0
Afghanistan,1887,0.0
Afghanistan,1888,0.0
Afghanistan,1889,0.0
Afghanistan,1890,0.0
Afghanistan,1891,0.0
Afghanistan,1892,0.0
Afghanistan,1893,0.0
Afghanistan,1894,0.0
Afghanistan,1895,0.0
Afghanistan,1896,0.0
Afghanistan,1897,0.0
Afghanistan,1898,0.0
Afghanistan,1899,0.0
Afghanistan,1900,0.0
Afghanistan,1901,0.0
Afghanistan,1902,0.0
Afghanistan,1903,0.0
Afghanistan,1904,0.0
Afghanistan,1905,0.0
Afghanistan,1906,0.0
Afghanistan,1907,0.0
Afghanistan,1908,0.0
Afghanistan,1909,0.0
Afghanistan,1910,0.0
Afghanistan,1911,0.0
Afghanistan,1912,0.0
Afghanistan,1913,0.0
Afghanistan,1914,0.0
Afghanistan,1915,0.0
Afghanistan,1916,0.0
Afghanistan,1917,0.0
Afghanistan,1918,0.0
Afghanistan,1919,0.0
Afghanistan,1920,0.0
Afghanistan,1921,0.0
Afghanistan,1922,0.0
Afghanistan,1923,0.0
Afghanistan,1924,0.0
Afghanistan,1925,0.0
Afghanistan,1926,0.0
Afghanistan,1927,0.0
Afghanistan,1928,0.0
Afghanistan,1929,0.0
Afghanistan,1930,0.0
Afghanistan,1931,0.0
Afghanistan,1932,0.0
Afghanistan,1933,0.0
Afghanistan,1934,0.0
Afghanistan,1935,0.0
Afghanistan,1936,0.0
Afghanistan,1937,0.0
Afghanistan,1938,0.0
Afghanistan,1939,0.0
Afghanistan,1940,0.0
Afghanistan,1941,0.0
Afghanistan,1942,0.0
Afghanistan,1943,0.0
Afghanistan,1944,0.0
Afghanistan,1945,0.0
Afghanistan,1946,0.0
Afghanistan,1947,0.0
Afghanistan,1948,0.0
Afghanistan,1949,0.0
Afghanistan,1950,0.0
Afghanistan,1951,0.0001
Afghanistan,1952,0.0001
Afghanistan,1953,0.0002
Afghanistan,1954,0.0002
Afghanistan,1955,0.0002
Afghanistan,1956,0.0003
Afghanistan,1957,0.0004
Afghanistan,1958,0.0005
Afghanistan,1959,0.0006
Afghanistan,1960,0.0007
Afghanistan,1961,0.0009
Afghanistan,1962,0.0011
Afghanistan,1963,0.0012
Afghanistan,1964,0.0014
Afghanistan,1965,0.0017
Afghanistan,1966,0.0019
Afghanistan,1967,0.0022
Afghanistan,1968,0.0024
Afghanistan,1969,0.0026
Afghanistan,1970,0.0029
Afghanistan,1971,0.0032
Afghanistan,1972,0.0034
Afghanistan,1973,0.0036
Afghanistan,1974,0.0039
Afghanistan,1975,0.0042
Afghanistan,1976,0.0044
Afghanistan,1977,0.0047
Afghanistan,1978,0.005
Afghanistan,1979,0.0052
Afghanistan,1980,0.0053
Afghanistan,1981,0.0055
Afghanistan,1982,0.0056
Afghanistan,1983,0.0058
Afghanistan,1984,0.0061
Afghanistan,1985,0.0064
Afghanistan,1986,0.0067
Afghanistan,1987,0.0069
Afghanistan,1988,0.0071
Afghanistan,1989,0.0072
Afghanistan,1990,0.0074
Afghanistan,1991,0.0075
Afghanistan,1992,0.0074
Afghanistan,1993,0.0074
Afghanistan,1994,0.0074
Afghanistan,1995,0.0073
Afghanistan,1996,0.0072
Afghanistan,1997,0.0072
Afghanistan,1998,0.0071
Afghanistan,1999,0.007
Afghanistan,2000,0.0069
Afghanistan,2001,0.0068
Afghanistan,2002,0.0068
Afghanistan,2003,0.0067
Afghanistan,2004,0.0066
Afghanistan,2005,0.0066
Afghanistan,2006,0.0066
Afghanistan,2007,0.0066
Afghanistan,2008,0.0067
Afghanistan,2009,0.0071
Afghanistan,2010,0.0076
Afghanistan,2011,0.0083
Afghanistan,2012,0.0088
Afghanistan,2013,0.0093
Afghanistan,2014,0.0097
Afghanistan,2015,0.0102
Afghanistan,2016,0.0108
Afghanistan,2017,0.0113
Africa,1751,0.0
Africa,1752,0.0
Africa,1753,0.0
Africa,1754,0.0
Africa,1755,0.0
Africa,1756,0.0
Africa,1757,0.0
Africa,1758,0.0
Africa,1759,0.0
Africa,1760,0.0
Africa,1761,0.0
Africa,1762,0.0
Africa,1763,0.0
Africa,1764,0.0
Africa,1765,0.0
Africa,1766,0.0
Africa,1767,0.0
Africa,1768,0.0
Africa,1769,0.0
Africa,1770,0.0
Africa,1771,0.0
Africa,1772,0.0
Africa,1773,0.0
Africa,1774,0.0
Africa,1775,0.0
Africa,1776,0.0
Africa,1777,0.0
Africa,1778,0.0
Africa,1779,0.0
Africa,1780,0.0
Africa,1781,0.0
Africa,1782,0.0
Africa,1783,0.0
Africa,1784,0.0
Africa,1785,0.0
Africa,1786,0.0
Africa,1787,0.0
Africa,1788,0.0
Africa,1789,0.0
Africa,1790,0.0
Africa,1791,0.0
Africa,1792,0.0
Africa,1793,0.0
Africa,1794,0.0
Africa,1795,0.0
Africa,1796,0.0
Africa,1797,0.0
Africa,1798,0.0
Africa,1799,0.0
Africa,1800,0.0
Africa,1801,0.0
Africa,1802,0.0
Africa,1803,0.0
Africa,1804,0.0
Africa,1805,0.0
Africa,1806,0.0
Africa,1807,0.0
Africa,1808,0.0
Africa,1809,0.0
Africa,1810,0.0
Africa,1811,0.0
Africa,1812,0.0
Africa,1813,0.0
Africa,1814,0.0
Africa,1815,0.0
Africa,1816,0.0
Africa,1817,0.0
Africa,1818,0.0
Africa,1819,0.0
Africa,1820,0.0
Africa,1821,0.0
Africa,1822,0.0
Africa,1823,0.0
Africa,1824,0.0
Africa,1825,0.0
Africa,1826,0.0
Africa,1827,0.0
Africa,1828,0.0
Africa,1829,0.0
Africa,1830,0.0
Africa,1831,0.0
Africa,1832,0.0
Africa,1833,0.0
Africa,1834,0.0
Africa,1835,0.0
Africa,1836,0.0
Africa,1837,0.0
Africa,1838,0.0
Africa,1839,0.0
Africa,1840,0.0
Africa,1841,0.0
Africa,1842,0.0
Africa,1843,0.0
Africa,1844,0.0
Africa,1845,0.0
Africa,1846,0.0
Africa,1847,0.0
Africa,1848,0.0
Africa,1849,0.0
Africa,1850,0.0
Africa,1851,0.0
Africa,1852,0.0
Africa,1853,0.0
Africa,1854,0.0
Africa,1855,0.0
Africa,1856,0.0
Africa,1857,0.0
Africa,1858,0.0
Africa,1859,0.0
Africa,1860,0.0
Africa,1861,0.0
Africa,1862,0.0
Africa,1863,0.0
Africa,1864,0.0
Africa,1865,0.0
Africa,1866,0.0
Africa,1867,0.0
Africa,1868,0.0
Africa,1869,0.0
Africa,1870,0.0
Africa,1871,0.0
Africa,1872,0.0
Africa,1873,0.0
Africa,1874,0.0
Africa,1875,0.0
Africa,1876,0.0
Africa,1877,0.0
Africa,1878,0.0
Africa,1879,0.0
Africa,1880,0.0
Africa,1881,0.0
Africa,1882,0.0
Africa,1883,0.0
Africa,1884,0.0001
Africa,1885,0.0003
Africa,1886,0.0004
Africa,1887,0.0006
Africa,1888,0.0009
Africa,1889,0.0013
Africa,1890,0.0023
Africa,1891,0.0031
Africa,1892,0.0045
Africa,1893,0.0097
Africa,1894,0.0163
Africa,1895,0.0249
Africa,1896,0.0352
Africa,1897,0.0459
Africa,1898,0.0587
Africa,1899,0.0691
Africa,1900,0.0713
Africa,1901,0.0765
Africa,1902,0.0852
Africa,1903,0.0969
Africa,1904,0.1094
Africa,1905,0.123
Africa,1906,0.1377
Africa,1907,0.1523
Africa,1908,0.1666
Africa,1909,0.1824
Africa,1910,0.1994
Africa,1911,0.2141
Africa,1912,0.2286
Africa,1913,0.2431
Africa,1914,0.2574
Africa,1915,0.2709
Africa,1916,0.2866
Africa,1917,0.303
Africa,1918,0.3177
Africa,1919,0.3337
Africa,1920,0.3495
Africa,1921,0.3658
Africa,1922,0.3769
Africa,1923,0.3904
Africa,1924,0.4044
Africa,1925,0.4187
Africa,1926,0.4342
Africa,1927,0.4471
Africa,1928,0.4599
Africa,1929,0.4717
Africa,1930,0.4824
Africa,1931,0.491
Africa,1932,0.4985
Africa,1933,0.5063
Africa,1934,0.5154
Africa,1935,0.5256
Africa,1936,0.536
Africa,1937,0.5465
Africa,1938,0.5587
Africa,1939,0.571
Africa,1940,0.583
Africa,1941,0.5964
Africa,1942,0.6115
Africa,1943,0.626
Africa,1944,0.643
Africa,1945,0.6623
Africa,1946,0.6799
Africa,1947,0.695
Africa,1948,0.7101
Africa,1949,0.7279
Africa,1950,0.7507
Africa,1951,0.7736
Africa,1952,0.7989
Africa,1953,0.8229
Africa,1954,0.8475
Africa,1955,0.8732
Africa,1956,0.8981
Africa,1957,0.9232
Africa,1958,0.9484
Africa,1959,0.9695
Africa,1960,0.9908
