Entity,Year,Imported deforestation (hectares),Exported deforestation (hectares),Net deforestation in trade (hectares),embodied_deforestation,deforestation_domestic_consumption,share_deforestation_exported,share_deforestation_domestic_consumption,imported_deforestation_per_capita,exported_deforestation_per_capita,domestic_consumption_deforestation_per_capita,net_traded_deforestation_per_capita,domestic_and_imported_deforestation
Afghanistan,2005,358.92149596180536,2.2968265966248396,-356.6246693651805,191.12479428908483,188.82796769246,1.2017418279863712,98.79825817201365,1.3990858967872663e-05,8.953093461545334e-08,7.360566293461448e-06,-1.3901328033257212e-05,547.7494636542654
Afghanistan,2006,104.4663756472638,1.8198999154669764,-102.6464757317968,203.532539760267,201.7126398448,0.8941567366134993,99.1058432633865,3.952119534190738e-06,6.884954093243205e-08,7.63109143286044e-06,-3.8832699932583066e-06,306.1790154920638
Afghanistan,2007,157.6413263757118,0.9642861323948182,-156.67704024331698,218.0703882999948,217.1061021676,0.4421903129132187,99.5578096870868,5.816808471115893e-06,3.5581201151057825e-08,8.010999674093206e-06,-5.781227269964834e-06,374.7474285433118
Afghanistan,2008,270.48644663160246,0.0,-270.48644663160246,190.6121775,190.6121775,0.0,100.0,9.757104344260964e-06,0.0,6.875845086934565e-06,-9.757104344260964e-06,461.0986241316025
Afghanistan,2009,583.7729544845712,0.0,-583.7729544845712,164.2620399,164.2620399,0.0,100.0,2.055900526446808e-05,0.0,5.784893111463285e-06,-2.055900526446808e-05,748.0349943845712
Afghanistan,2010,1132.6910257886716,0.0,-1132.6910257886716,134.5402427,134.5402427,0.0,100.0,3.880939579896771e-05,0.0,4.6097527136298226e-06,-3.880939579896771e-05,1267.2312684886715
Afghanistan,2011,663.5228874411983,0.0,-663.5228874411983,126.7250815,126.7250815,0.0,100.0,2.203150670522291e-05,0.0,4.207759122754591e-06,-2.203150670522291e-05,790.2479689411983
Afghanistan,2012,687.7361328842524,0.0,-687.7361328842524,83.86471822,83.86471822,0.0,100.0,2.207041278791606e-05,0.0,2.691335907705144e-06,-2.207041278791606e-05,771.6008511042523
Afghanistan,2013,652.5734667452028,0.0023612200244826,-652.5711055251784,62.62339493002448,62.62103371,0.0037705078543268,99.99622949214567,2.0222295219869937e-05,7.317074758235794e-11,1.9405340474124574e-06,-2.0222222049122356e-05,715.1945004552028
Albania,2005,1224.2247514450737,38.67139802514612,-1185.5533534199276,591.7627534251461,553.0913554,6.534949656989148,93.46505034301086,0.0003965742635066,1.2527177850711408e-05,0.0001791679155814,-0.0003840470856559,1777.3161068450736
